Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
Cal. B,EDDM + HT,1,SPY->PFF,500,1.0,31.0,7
Cal. B,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,7
Cal. B,PHT + ARF,1,SPY->PFF,500,0.0,,7
Cal. B,EDDM + ARF,1,SPY->PFF,500,0.0,,7
Cal. B,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,7
Cal. B,PHT + ARF,32,SPY->PFF,500,1.0,16.0,7
Cal. B,EDDM + ARF,32,SPY->PFF,500,0.0,,7
Cal. B,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,7
Cal. B,SRP + PHT,1,SPY->PFF,500,0.0,,7
Cal. B,SRP + PHT,32,SPY->PFF,500,0.0,,7
Cal. B,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,7
Cal. B,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,7
Cal. B,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,7
Cal. B,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,7
IID,PHT + HT,1,SPY->PFF,500,1.0,16.0,8
IID,EDDM + HT,1,SPY->PFF,500,1.0,31.0,8
IID,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,8
IID,PHT + ARF,1,SPY->PFF,500,0.0,,8
IID,EDDM + ARF,1,SPY->PFF,500,0.0,,8
IID,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,8
IID,PHT + ARF,32,SPY->PFF,500,1.0,16.0,8
IID,EDDM + ARF,32,SPY->PFF,500,0.0,,8
IID,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,8
IID,SRP + PHT,1,SPY->PFF,500,0.0,,8
IID,SRP + PHT,32,SPY->PFF,500,0.0,,8
IID,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,8
IID,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,8
IID,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,8
IID,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,8
Cal. A,PHT + HT,1,SPY->PFF,500,1.0,16.0,8
Cal. A,EDDM + HT,1,SPY->PFF,500,1.0,31.0,8
Cal. A,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,8
Cal. A,PHT + ARF,1,SPY->PFF,500,0.0,,8
Cal. A,EDDM + ARF,1,SPY->PFF,500,0.0,,8
Cal. A,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,8
Cal. A,PHT + ARF,32,SPY->PFF,500,1.0,17.0,8
Cal. A,EDDM + ARF,32,SPY->PFF,500,0.0,,8
Cal. A,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,8
Cal. A,SRP + PHT,1,SPY->PFF,500,0.0,,8
Cal. A,SRP + PHT,32,SPY->PFF,500,0.0,,8
Cal. A,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,8
Cal. A,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,8
Cal. A,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,8
Cal. A,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,8
Cal. B,PHT + HT,1,SPY->PFF,500,1.0,16.0,8
Cal. B,EDDM + HT,1,SPY->PFF,500,1.0,31.0,8
Cal. B,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,8
Cal. B,PHT + ARF,1,SPY->PFF,500,0.0,,8
Cal. B,EDDM + ARF,1,SPY->PFF,500,0.0,,8
Cal. B,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,8
Cal. B,PHT + ARF,32,SPY->PFF,500,1.0,17.0,8
Cal. B,EDDM + ARF,32,SPY->PFF,500,0.0,,8
Cal. B,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,8
Cal. B,SRP + PHT,1,SPY->PFF,500,0.0,,8
Cal. B,SRP + PHT,32,SPY->PFF,500,0.0,,8
Cal. B,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,8
Cal. B,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,8
Cal. B,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,8
