axis,pipeline,delta_e,n,median_e_pre,median_delta_e_emp,median_lambda_eq,median_lambda_eq_pht,median_tau_swap,median_tau_erase,median_a,verdict_mode,miss_rate_lambda50,miss_rate_lambda25,miss_rate_lambda_eq,miss_rate_before_erase_lambda_eq
ensemble,ENS_HAT,0.452271,30,0.112,0.3055,5.7995080053806305,8.631825223565102,,449.0,87.45250000000004,OK,0.13333333333333333,0.0,0.0,0.0
ensemble,ENS_LeveragingBagging,0.028186,30,0.07,0.009500000000000001,4.618506476283073,7.005850329995155,,248.5,3.831999999999995,OK,1.0,0.9666666666666667,0.13333333333333333,0.3333333333333333
ensemble,ENS_LeveragingBagging,0.140949,30,0.07,0.10650000000000001,4.618506476283073,7.005850329995155,,1121.5,62.76000000000115,OK,0.1,0.0,0.0,0.0
ensemble,ENS_LeveragingBagging,0.242568,30,0.07,0.20600000000000002,4.618506476283073,7.005850329995155,,1595.5,132.28250000000045,OK,0.03333333333333333,0.0,0.0,0.0
ensemble,ENS_LeveragingBagging,0.326793,30,0.07,0.2885,4.618506476283073,7.005850329995155,,2136.5,260.33199999999846,OK,0.0,0.0,0.0,0.0
ensemble,ENS_LeveragingBagging,0.415743,30,0.07,0.3865,4.618506476283073,7.005850329995155,,2180.5,379.5774999999766,OK,0.0,0.0,0.0,0.0
ensemble,ENS_LeveragingBagging,0.452271,30,0.07,0.414,4.618506476283073,7.005850329995155,,2294.5,418.7359999999977,OK,0.0,0.0,0.0,0.0
ensemble,ENS_SRP,0.028186,30,0.0695,0.010500000000000006,4.618506476283073,7.030930876731873,,248.5,4.191999999999991,OK,1.0,0.9666666666666667,0.1,0.3333333333333333
ensemble,ENS_SRP,0.140949,30,0.0695,0.108,4.618506476283073,7.030930876731873,,971.0,48.559999999998695,OK,0.5666666666666667,0.03333333333333333,0.0,0.0
ensemble,ENS_SRP,0.242568,30,0.0695,0.133,4.618506476283073,7.030930876731873,,331.0,30.60250000000005,OK,1.0,0.16666666666666666,0.0,0.0
ensemble,ENS_SRP,0.326793,30,0.0695,0.15,4.618506476283073,7.030930876731873,,1125.0,44.0189999999986,OK,0.5666666666666667,0.0,0.0,0.0
ensemble,ENS_SRP,0.415743,30,0.0695,0.15899999999999997,4.618506476283073,7.030930876731873,,1539.0,53.081000000001694,OK,0.36666666666666664,0.03333333333333333,0.0,0.0
ensemble,ENS_SRP,0.452271,30,0.0695,0.1565,4.618506476283073,7.030930876731873,,1190.5,49.75599999999841,OK,0.5,0.03333333333333333,0.0,0.0
mechanism,ARF_ADWIN,0.028186,30,0.069,0.005499999999999998,4.035006403923035,6.438879773020744,267.0,324.0,4.69849999999998,OK,1.0,0.9333333333333333,0.03333333333333333,0.3
mechanism,ARF_ADWIN,0.140949,30,0.069,0.105,4.035006403923035,6.438879773020744,555.0,1113.0,54.94300000000021,OK,0.4,0.03333333333333333,0.0,0.0
mechanism,ARF_ADWIN,0.242568,30,0.069,0.175,4.035006403923035,6.438879773020744,113.5,392.5,40.00349999999972,OK,0.8333333333333334,0.0,0.0,0.0
mechanism,ARF_ADWIN,0.326793,30,0.069,0.1925,4.035006403923035,6.438879773020744,60.0,808.5,43.90950000000015,OK,0.7666666666666667,0.0,0.0,0.0
mechanism,ARF_ADWIN,0.415743,30,0.069,0.201,4.035006403923035,6.438879773020744,41.0,904.0,51.9244999999996,OK,0.4666666666666667,0.0,0.0,0.0
mechanism,ARF_ADWIN,0.452271,30,0.069,0.199,4.035006403923035,6.438879773020744,36.5,675.5,51.03250000000058,OK,0.43333333333333335,0.0,0.0,0.0
mechanism,ARF_DDM,0.028186,30,0.065,0.0185,3.941011980175972,5.9595833122730255,,827.0,11.157999999999944,OK,1.0,0.8666666666666667,0.03333333333333333,0.1
mechanism,ARF_DDM,0.140949,30,0.065,0.12,3.941011980175972,5.9595833122730255,539.0,1296.5,89.08500000000225,OK,0.0,0.0,0.0,0.0
mechanism,ARF_DDM,0.242568,30,0.065,0.22449999999999998,3.941011980175972,5.9595833122730255,206.0,531.5,66.58399999999872,OK,0.0,0.0,0.0,0.0
mechanism,ARF_DDM,0.326793,30,0.065,0.294,3.941011980175972,5.9595833122730255,142.5,836.0,75.42299999999953,OK,0.0,0.0,0.0,0.0
mechanism,ARF_DDM,0.415743,30,0.065,0.3235,3.941011980175972,5.9595833122730255,111.0,1143.0,79.91149999999925,OK,0.0,0.0,0.0,0.0
mechanism,ARF_DDM,0.452271,30,0.065,0.3225,3.941011980175972,5.9595833122730255,102.5,1097.5,79.67749999999941,OK,0.0,0.0,0.0,0.0
mechanism,ARF_EDDM,0.028186,30,0.064,0.015,4.220006108283997,5.771230116486549,,783.5,7.672499999999911,OK,1.0,0.9,0.06666666666666667,0.23333333333333334
mechanism,ARF_EDDM,0.140949,30,0.064,0.11349999999999999,4.220006108283997,5.771230116486549,868.0,1735.0,107.69699999999929,OK,0.0,0.0,0.0,0.0
mechanism,ARF_EDDM,0.242568,30,0.064,0.223,4.220006108283997,5.771230116486549,412.0,889.5,124.35249999999999,OK,0.0,0.0,0.0,0.0
mechanism,ARF_EDDM,0.326793,30,0.064,0.3025,4.220006108283997,5.771230116486549,286.0,1135.0,144.90600000000023,OK,0.0,0.0,0.0,0.0
mechanism,ARF_EDDM,0.415743,30,0.064,0.39699999999999996,4.220006108283997,5.771230116486549,223.5,1351.0,161.57899999999893,OK,0.0,0.0,0.0,0.0
mechanism,ARF_EDDM,0.452271,30,0.064,0.427,4.220006108283997,5.771230116486549,214.0,1199.5,165.01800000000082,OK,0.0,0.0,0.0,0.0
mechanism,ARF_KSWIN,0.028186,30,0.0655,0.0185,4.085509538650513,6.120528593659401,,762.5,6.5549999999998985,OK,1.0,0.9,0.03333333333333333,0.1
mechanism,ARF_KSWIN,0.140949,30,0.064,0.1175,4.059506967663765,6.24509109556675,522.0,2131.0,128.09350000000694,OK,0.0,0.0,0.0,0.0
mechanism,ARF_KSWIN,0.242568,30,0.0635,0.2225,3.9560097455978394,6.31507571041584,251.0,2136.5,213.18000000001257,OK,0.0,0.0,0.0,0.0
mechanism,ARF_KSWIN,0.326793,30,0.0665,0.284,4.210510745644569,6.2458644062280655,40.5,1987.0,221.7160000000019,OK,0.03333333333333333,0.03333333333333333,0.0,0.0
mechanism,ARF_KSWIN,0.415743,30,0.064,0.26,3.9565079361200333,6.314711362123489,26.0,1565.0,102.69599999999745,OK,0.23333333333333334,0.03333333333333333,0.0,0.0
mechanism,ARF_KSWIN,0.452271,30,0.065,0.19,3.897007629275322,6.31507571041584,25.0,1164.0,56.70999999999908,OK,0.36666666666666664,0.0,0.0,0.0
mechanism,ARF_PageHinkley,0.028186,30,0.0975,-0.004499999999999997,5.376507073640823,8.609927147626877,36.5,51.0,2.3865000000000007,OK,1.0,0.9666666666666667,0.13333333333333333,0.6333333333333333
mechanism,ARF_PageHinkley,0.140949,30,0.0975,0.026999999999999996,5.376507073640823,8.609927147626877,92.0,156.0,6.021500000000005,OK,1.0,1.0,0.2,0.3333333333333333
mechanism,ARF_PageHinkley,0.242568,30,0.0975,0.0675,5.376507073640823,8.609927147626877,121.0,168.0,14.056500000000025,OK,1.0,0.9,0.06666666666666667,0.1
mechanism,ARF_PageHinkley,0.326793,30,0.0975,0.107,5.376507073640823,8.609927147626877,103.5,207.5,23.479499999999895,OK,1.0,0.6,0.0,0.0
mechanism,ARF_PageHinkley,0.415743,30,0.0975,0.15450000000000003,5.376507073640823,8.609927147626877,84.5,589.5,36.04300000000026,OK,0.9333333333333333,0.1,0.0,0.0
mechanism,ARF_PageHinkley,0.452271,30,0.0975,0.1605,5.376507073640823,8.609927147626877,73.5,417.0,35.97250000000008,OK,0.9,0.1,0.0,0.0
