variant,seed,pipeline,lambda,lambda_role,F1_bp,F1_fm,ADD_bp,ADD_fm,n_detections,TP_bp,FP_bp,precision_bp,recall_bp,n_valid_drifts,e_pre_span,e_post,alarms_pre_change
abrupt_balanced,1129302214,pht_arf_c1,15.0,grid,0.03215434083601287,0.03215434083601287,35.6,35.6,306,5,301,0.016339869281045753,1.0,5,0.3936921041023379,0.4156643719963632,47
abrupt_balanced,1206282609,pht_arf_c1,15.0,grid,0.03194888178913738,0.03194888178913738,27.8,27.8,308,5,303,0.016233766233766232,1.0,5,0.43063520070577854,0.41569034939602545,61
abrupt_balanced,1244265337,pht_arf_c1,15.0,grid,0.03773584905660378,0.03773584905660378,41.4,41.4,260,5,255,0.019230769230769232,1.0,5,0.39644905161005733,0.3829588258215353,51
abrupt_balanced,1258460216,pht_arf_c1,15.0,grid,0.03194888178913738,0.03194888178913738,53.6,53.6,308,5,303,0.016233766233766232,1.0,5,0.4316277018085576,0.4115079880503962,60
abrupt_balanced,1332204363,pht_arf_c1,15.0,grid,0.03278688524590164,0.03278688524590164,63.6,63.6,300,5,295,0.016666666666666666,1.0,5,0.4134318482576092,0.38960904013508246,61
abrupt_balanced,1337295874,pht_arf_c1,15.0,grid,0.03225806451612903,0.03225806451612903,88.6,88.6,305,5,300,0.01639344262295082,1.0,5,0.42920158800176444,0.41743083517339913,58
abrupt_balanced,1380564739,pht_arf_c1,15.0,grid,0.03333333333333333,0.03333333333333333,85.6,85.6,295,5,290,0.01694915254237288,1.0,5,0.3932509925011028,0.395843616054033,50
abrupt_balanced,1395586264,pht_arf_c1,15.0,grid,0.033003300330033,0.033003300330033,42.6,42.6,298,5,293,0.016778523489932886,1.0,5,0.3917071018967799,0.40563709572671774,48
abrupt_balanced,1496786007,pht_arf_c1,15.0,grid,0.031545741324921134,0.031545741324921134,26.2,26.2,312,5,307,0.016025641025641024,1.0,5,0.40736656374062635,0.3994284972074295,58
abrupt_balanced,1658700540,pht_arf_c1,15.0,grid,0.03194888178913738,0.03194888178913738,30.8,30.8,308,5,303,0.016233766233766232,1.0,5,0.40968239964711073,0.40563709572671774,59
abrupt_balanced,1737489325,pht_arf_c1,15.0,grid,0.03311258278145695,0.03311258278145695,20.2,20.2,297,5,292,0.016835016835016835,1.0,5,0.37681958535509485,0.3977659436290427,48
abrupt_balanced,1870843651,pht_arf_c1,15.0,grid,0.031055900621118012,0.031055900621118012,28.2,28.2,317,5,312,0.015772870662460567,1.0,5,0.4125496250551389,0.4124951292375633,57
abrupt_balanced,1944468667,pht_arf_c1,15.0,grid,0.036231884057971016,0.036231884057971016,28.2,28.2,271,5,266,0.01845018450184502,1.0,5,0.4007498897220997,0.3987011300168853,48
abrupt_balanced,76953952,pht_arf_c1,21.0,grid,0.0546448087431694,0.0546448087431694,49.6,49.6,178,5,173,0.028089887640449437,1.0,5,0.3516762240846934,0.3580464995453955,31
abrupt_balanced,110020020,pht_arf_c1,21.0,grid,0.05291005291005291,0.05291005291005291,41.2,41.2,184,5,179,0.02717391304347826,1.0,5,0.33447287163652406,0.37212625016235873,28
abrupt_balanced,168388230,pht_arf_c1,21.0,grid,0.05714285714285715,0.05714285714285715,153.0,153.0,170,5,165,0.029411764705882353,1.0,5,0.36127040141155714,0.36415118846603456,29
abrupt_balanced,176092387,pht_arf_c1,21.0,grid,0.04739336492890995,0.04739336492890995,30.8,30.8,206,5,201,0.024271844660194174,1.0,5,0.3668945743273048,0.39314196648915445,35
abrupt_balanced,176623029,pht_arf_c1,21.0,grid,0.04739336492890995,0.04739336492890995,44.2,44.2,206,5,201,0.024271844660194174,1.0,5,0.38531098367887073,0.36874918820626057,43
abrupt_balanced,232150720,pht_arf_c1,21.0,grid,0.04878048780487806,0.04878048780487806,70.8,70.8,200,5,195,0.025,1.0,5,0.38134097926775473,0.38755682556176124,37
abrupt_balanced,233227757,pht_arf_c1,21.0,grid,0.0505050505050505,0.0505050505050505,63.8,63.8,193,5,188,0.025906735751295335,1.0,5,0.38586237318041466,0.3794518768671256,40
abrupt_balanced,398083709,pht_arf_c1,21.0,grid,0.04807692307692307,0.04807692307692307,212.8,212.8,203,5,198,0.024630541871921183,1.0,5,0.36921041023378914,0.3844655150019483,36
abrupt_balanced,536987301,pht_arf_c1,21.0,grid,0.04694835680751174,0.04694835680751174,125.4,125.4,208,5,203,0.02403846153846154,1.0,5,0.3808998676665196,0.3895830627354202,40
abrupt_balanced,569531098,pht_arf_c1,21.0,grid,0.04926108374384236,0.04926108374384236,81.0,81.0,198,5,193,0.025252525252525252,1.0,5,0.37284958094397885,0.39171320950772825,34
abrupt_balanced,570914454,pht_arf_c1,21.0,grid,0.05102040816326531,0.05102040816326531,25.8,25.8,191,5,186,0.02617801047120419,1.0,5,0.3534406704896339,0.37560722171710614,32
abrupt_balanced,592703045,pht_arf_c1,21.0,grid,0.054945054945054944,0.054945054945054944,217.4,217.4,177,5,172,0.02824858757062147,1.0,5,0.3563078958976621,0.3617093128977789,32
abrupt_balanced,609942288,pht_arf_c1,21.0,grid,0.050761421319796954,0.050761421319796954,64.6,64.6,192,5,187,0.026041666666666668,1.0,5,0.3472651080723423,0.3747759449279127,28
abrupt_balanced,612016888,pht_arf_c1,21.0,grid,0.05291005291005291,0.05291005291005291,105.2,105.2,184,5,179,0.02717391304347826,1.0,5,0.37064402293780324,0.3748278997272373,32
abrupt_balanced,829139639,pht_arf_c1,21.0,grid,0.062111801242236024,0.062111801242236024,86.6,86.6,156,5,151,0.03205128205128205,1.0,5,0.34263343625937365,0.3488764774646058,26
abrupt_balanced,877132087,pht_arf_c1,21.0,grid,0.06060606060606061,0.06060606060606061,33.2,33.2,160,5,155,0.03125,1.0,5,0.3681076312307014,0.35918950513053644,31
abrupt_balanced,911875363,pht_arf_c1,21.0,grid,0.050761421319796954,0.050761421319796954,251.4,251.4,192,5,187,0.026041666666666668,1.0,5,0.36171151301279225,0.36573580984543447,36
abrupt_balanced,1129302214,pht_arf_c1,21.0,grid,0.04975124378109453,0.04975124378109453,53.0,53.0,196,5,191,0.025510204081632654,1.0,5,0.3769298632554036,0.37365891674243407,34
abrupt_balanced,1206282609,pht_arf_c1,21.0,grid,0.04950495049504951,0.04950495049504951,86.0,86.0,197,5,192,0.025380710659898477,1.0,5,0.3942434936038818,0.38210157163267955,39
abrupt_balanced,1244265337,pht_arf_c1,21.0,grid,0.06060606060606061,0.06060606060606061,69.8,69.8,160,5,155,0.03125,1.0,5,0.3582928981032201,0.3557085335757891,31
abrupt_balanced,1258460216,pht_arf_c1,21.0,grid,0.05181347150259067,0.05181347150259067,81.4,81.4,188,5,183,0.026595744680851064,1.0,5,0.3695412439347155,0.3701000129886998,35
abrupt_balanced,1332204363,pht_arf_c1,21.0,grid,0.05952380952380952,0.05952380952380952,89.4,89.4,163,5,158,0.03067484662576687,1.0,5,0.3393250992501103,0.3551630081828809,25
abrupt_balanced,1337295874,pht_arf_c1,21.0,grid,0.04784688995215312,0.04784688995215312,29.4,29.4,204,5,199,0.024509803921568627,1.0,5,0.3825540361711513,0.38456942460059745,37
abrupt_balanced,1380564739,pht_arf_c1,21.0,grid,0.056179775280898875,0.056179775280898875,86.4,86.4,173,5,168,0.028901734104046242,1.0,5,0.34902955447728273,0.3635277308741395,28
abrupt_balanced,1395586264,pht_arf_c1,21.0,grid,0.04926108374384236,0.04926108374384236,57.2,57.2,198,5,193,0.025252525252525252,1.0,5,0.35244816938685486,0.3756591765164307,29
abrupt_balanced,1496786007,pht_arf_c1,21.0,grid,0.05235602094240838,0.05235602094240838,254.0,254.0,186,5,181,0.026881720430107527,1.0,5,0.37891486546096165,0.3635796856734641,39
