Calibration,Detector,Clock,Dataset,w,Seed,lambda,lambda_role,ADD,F1,precision,recall,TP,FP,FN,n_detections
Cal. A,PHT + ARF,1,BWX->PFF,500,11,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,12,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,13,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,14,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,15,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,16,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,17,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,18,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,19,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,20,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,21,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,22,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,23,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,24,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,25,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,26,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,27,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,28,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,29,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,30,15.0,lambda_ref,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,1,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,2,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,3,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,4,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,5,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,6,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,7,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,8,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,9,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,10,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,11,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,12,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,13,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,14,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,15,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,16,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,17,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,18,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,19,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,20,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,21,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,22,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,23,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,24,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,25,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,26,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,27,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,28,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,29,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,30,25.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,1,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,2,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,3,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,4,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,5,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,6,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,7,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,8,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,9,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,10,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,11,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,12,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,13,40.0,grid,,0.0,0.0,0.0,0,0,1,0
Cal. A,PHT + ARF,1,BWX->PFF,500,14,40.0,grid,,0.0,0.0,0.0,0,0,1,0
