variant,seed,pipeline,n_total,warmup_steps,span_lo,span_hi,span_len,span_over_warmup,p_true_warmup,p_true_span,lambda_eq_warm_emp,lambda_eq_span_emp,lambda_eq_span_arl,theta_star_span,arl_note,arl_emp_ratio,arl_concordant,fa_of_warm_lambda_over_span,verdict_warm,verdict_span,bound_span,attained_fa_span
abrupt_balanced,110020020,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,168388230,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,176092387,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,176623029,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,232150720,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,233227757,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,398083709,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,536987301,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,569531098,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,570914454,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,592703045,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,609942288,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,612016888,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,829139639,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,877132087,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,911875363,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1129302214,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1206282609,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1244265337,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1258460216,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1332204363,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1337295874,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1380564739,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1395586264,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1496786007,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1658700540,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1737489325,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1870843651,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
abrupt_balanced,1944468667,pht_ht,52847,5284,5284,14352,9068,1.7161241483724452,0.3925056775170325,0.3754962505513895,44.90237799286842,47.603462904691696,34.921983803633964,0.042496864685123155,,1.3631374200379218,True,3,OK,OK,,1
gradual_balanced,76953952,pht_arf_c1,24149,2414,2414,14028,11614,4.811101905550953,0.1304888152444076,0.16256242465989323,18.142825096845627,104.38173109292984,27.248696383580622,0.07227533439001443,,3.8307054995786016,False,11,OK,OK,,1
gradual_balanced,110020020,pht_arf_c1,24149,2414,2414,14028,11614,4.811101905550953,0.13504556752278377,0.16213190976407785,17.422620058059692,125.72330591082573,27.211575994421555,0.07242603961901407,,4.620214056569136,False,13,OK,OK,,1
gradual_balanced,168388230,pht_arf_c1,24149,2414,2414,14028,11614,4.811101905550953,0.14291632145816072,0.16204580678491476,15.792451441287994,109.966164290905,27.20414229618827,0.07245627948215708,,4.042258090464149,False,16,OK,OK,,1
gradual_balanced,176092387,pht_arf_c1,24149,2414,2414,14028,11614,4.811101905550953,0.14167357083678542,0.17375581195109352,21.315882325172424,106.86750847101212,28.18634006729466,0.06862709887892068,,3.7914645255775246,False,11,OK,OK,,1
gradual_balanced,176623029,pht_arf_c1,24149,2414,2414,14028,11614,4.811101905550953,0.1379453189726595,0.16531771999311176,22.557982832193375,108.75209629535675,27.484381112144906,0.07132994593978798,,3.956869025051503,False,9,OK,OK,,1
gradual_balanced,232150720,pht_arf_c1,24149,2414,2414,14028,11614,4.811101905550953,0.14291632145816072,0.16376786636817633,27.76560553908348,83.9368397295475,27.352208474084158,0.07185769590455754,,3.0687408590453127,False,6,OK,OK,,1
gradual_balanced,233227757,pht_arf_c1,24149,2414,2414,14028,11614,4.811101905550953,0.13504556752278377,0.15929051145169623,24.276175022125244,81.3080444931984,26.964559232751053,0.07344169378268098,,3.0153670894958275,False,8,OK,OK,,1
gradual_balanced,398083709,pht_arf_c1,24149,2414,2414,14028,11614,4.811101905550953,0.12220381110190555,0.15877389357671776,20.012288749217987,97.39127039909363,26.91926675532542,0.07363036756095787,,3.61790205076172,False,11,OK,OK,,1
