boundary_shift,seed,delta_e,tau_hat,tau_det,n_swaps_post,n_warnings_post
0.30526315789473685,44,-0.006000000000000005,1253.0,159.0,1,1
0.30526315789473685,45,0.03799999999999999,,,0,0
0.30526315789473685,46,-0.05399999999999999,388.0,1727.0,1,1
0.30526315789473685,47,0.016,2295.0,,2,2
0.30526315789473685,48,0.02600000000000001,3612.0,3679.0,1,1
0.30526315789473685,49,0.032,2191.0,2239.0,1,1
0.30526315789473685,50,0.029999999999999992,1434.0,1311.0,1,1
0.30526315789473685,51,-0.034,2509.0,95.0,1,1
0.30526315789473685,52,0.01200000000000001,18.0,3999.0,5,5
0.30526315789473685,53,0.039999999999999994,1664.0,3679.0,1,1
0.30526315789473685,54,0.021999999999999992,,2719.0,0,0
0.30526315789473685,55,0.01200000000000001,1476.0,,2,2
0.30526315789473685,56,-0.020000000000000004,692.0,927.0,1,1
0.30526315789473685,57,-0.022000000000000006,1458.0,1215.0,1,1
0.30526315789473685,58,0.047999999999999994,2077.0,2175.0,1,1
0.30526315789473685,59,-0.02600000000000001,1177.0,415.0,1,1
0.30526315789473685,60,0.0020000000000000018,1229.0,1407.0,1,1
0.30526315789473685,61,0.030000000000000006,2621.0,1759.0,1,1
0.30526315789473685,62,-0.064,780.0,2431.0,1,1
0.30526315789473685,63,-0.03,2346.0,2591.0,1,1
0.30526315789473685,64,0.022000000000000006,1954.0,1279.0,1,1
0.30526315789473685,65,0.0,1324.0,,2,2
0.30526315789473685,66,0.034,1891.0,1855.0,1,1
0.30526315789473685,67,0.025999999999999995,1344.0,1439.0,1,1
0.30526315789473685,68,0.042,1128.0,,2,2
0.30526315789473685,69,0.018000000000000002,2222.0,991.0,1,1
0.30526315789473685,70,-0.048,1027.0,2047.0,1,1
0.30526315789473685,71,0.0040000000000000036,821.0,3935.0,3,3
0.30526315789473685,72,0.020000000000000004,,,0,0
0.30526315789473685,73,0.132,299.0,63.0,1,1
0.30526315789473685,74,-0.038000000000000006,2035.0,2079.0,1,1
0.30526315789473685,75,0.011999999999999997,,,0,0
0.30526315789473685,76,0.064,,,0,0
0.30526315789473685,77,-0.016,1608.0,3999.0,1,1
0.30526315789473685,78,0.04,,,0,0
0.30526315789473685,79,0.044,1783.0,1599.0,1,1
0.30526315789473685,80,0.054000000000000006,422.0,95.0,1,1
0.30526315789473685,81,0.064,237.0,1919.0,2,2
0.30526315789473685,82,0.007999999999999993,746.0,255.0,1,1
0.30526315789473685,83,-0.03,1557.0,2623.0,1,1
0.30526315789473685,84,0.066,1228.0,2847.0,2,2
0.30526315789473685,85,0.042,1877.0,1919.0,1,1
0.30526315789473685,86,0.016,2515.0,1663.0,1,1
0.30526315789473685,87,0.05999999999999999,,,0,0
0.30526315789473685,88,0.038000000000000006,1147.0,1343.0,1,1
0.30526315789473685,89,0.02600000000000001,2599.0,,1,1
0.30526315789473685,90,0.052,3626.0,3679.0,1,1
0.30526315789473685,91,0.024000000000000007,,95.0,0,0
0.30526315789473685,92,0.062,3901.0,3743.0,1,1
0.30526315789473685,93,0.007999999999999993,1945.0,1215.0,1,1
0.30526315789473685,94,0.013999999999999999,968.0,2207.0,1,1
0.30526315789473685,95,0.068,3535.0,3583.0,1,1
0.30526315789473685,96,0.13,1697.0,191.0,1,1
0.30526315789473685,97,0.018000000000000002,3717.0,3807.0,1,1
0.30526315789473685,98,0.008000000000000007,2248.0,3199.0,1,1
0.30526315789473685,99,0.112,51.0,2303.0,2,2
0.30526315789473685,100,0.034,3380.0,3231.0,1,1
0.5105263157894737,1,0.036000000000000004,1397.0,,3,3
0.5105263157894737,2,0.043999999999999984,1581.0,,2,2
0.5105263157894737,3,0.032,2851.0,2719.0,1,1
0.5105263157894737,4,0.07999999999999999,,,0,0
0.5105263157894737,5,0.02400000000000002,1046.0,63.0,1,1
0.5105263157894737,6,0.086,937.0,959.0,1,1
0.5105263157894737,7,0.07200000000000001,555.0,575.0,1,1
0.5105263157894737,8,0.036000000000000004,1396.0,1215.0,1,1
0.5105263157894737,9,0.04600000000000001,1529.0,,2,2
0.5105263157894737,10,0.0040000000000000036,1256.0,,3,3
0.5105263157894737,11,0.013999999999999999,1181.0,1311.0,1,1
0.5105263157894737,12,0.013999999999999999,533.0,1151.0,1,1
0.5105263157894737,13,0.048000000000000015,2443.0,2431.0,1,1
0.5105263157894737,14,0.0,1794.0,,2,2
0.5105263157894737,15,0.05,2232.0,1663.0,1,1
0.5105263157894737,16,-0.008000000000000007,896.0,3647.0,2,2
0.5105263157894737,17,0.17200000000000001,248.0,255.0,1,1
0.5105263157894737,18,0.04199999999999998,1446.0,1343.0,1,1
0.5105263157894737,19,0.011999999999999997,2733.0,,1,1
0.5105263157894737,20,-0.022000000000000006,1606.0,1535.0,1,1
0.5105263157894737,21,0.055999999999999994,1669.0,,2,2
0.5105263157894737,22,0.016,1599.0,1407.0,1,1
0.5105263157894737,23,0.044,717.0,1695.0,1,1
0.5105263157894737,24,0.047999999999999994,2537.0,2655.0,1,1
0.5105263157894737,25,0.036000000000000004,1844.0,1727.0,1,1
0.5105263157894737,26,0.006000000000000005,2014.0,1439.0,1,1
0.5105263157894737,27,0.068,2771.0,2751.0,1,1
0.5105263157894737,28,0.08,3780.0,767.0,1,1
0.5105263157894737,29,0.08600000000000001,445.0,447.0,1,1
0.5105263157894737,30,-0.041999999999999996,1539.0,3647.0,2,2
0.5105263157894737,31,0.10200000000000001,197.0,223.0,1,1
0.5105263157894737,32,0.09,621.0,639.0,1,1
0.5105263157894737,33,0.084,521.0,63.0,1,1
0.5105263157894737,34,0.07799999999999999,4.0,,3,3
0.5105263157894737,35,-0.048000000000000015,789.0,383.0,1,1
0.5105263157894737,36,0.04799999999999999,348.0,,4,4
0.5105263157894737,37,0.07800000000000001,2234.0,2207.0,1,1
0.5105263157894737,38,0.14200000000000002,286.0,287.0,1,1
0.5105263157894737,39,0.104,1467.0,95.0,1,1
0.5105263157894737,40,0.013999999999999999,1774.0,1407.0,1,1
0.5105263157894737,41,-0.04400000000000001,772.0,2879.0,2,2
0.5105263157894737,42,-0.014000000000000012,1002.0,1631.0,1,1
0.5105263157894737,43,-0.020000000000000004,1733.0,1599.0,1,1
0.5105263157894737,44,0.0059999999999999915,1945.0,127.0,1,1
0.5105263157894737,45,0.128,314.0,191.0,1,1
0.5105263157894737,46,-0.03,1238.0,3135.0,3,3
0.5105263157894737,47,0.04200000000000001,2809.0,,1,1
0.5105263157894737,48,0.052000000000000005,2758.0,2847.0,1,1
0.5105263157894737,49,0.07400000000000001,2408.0,3647.0,1,1
0.5105263157894737,50,0.049999999999999996,2244.0,2015.0,1,1
0.5105263157894737,51,-0.006000000000000005,2001.0,191.0,1,1
0.5105263157894737,52,-0.011999999999999997,18.0,2239.0,2,2
0.5105263157894737,53,0.062,1334.0,,2,2
0.5105263157894737,54,0.078,3986.0,3871.0,1,1
0.5105263157894737,55,-0.009999999999999995,939.0,1759.0,2,2
0.5105263157894737,56,0.020000000000000004,1410.0,2751.0,2,2
0.5105263157894737,57,-0.006000000000000005,1432.0,1247.0,1,1
0.5105263157894737,58,0.098,3654.0,255.0,1,1
0.5105263157894737,59,-0.010000000000000009,3749.0,2111.0,1,1
0.5105263157894737,60,0.04400000000000001,978.0,3103.0,2,2
0.5105263157894737,61,0.058,2813.0,2623.0,1,1
0.5105263157894737,62,-0.048,635.0,2111.0,1,1
0.5105263157894737,63,-0.009999999999999995,912.0,1727.0,2,2
0.5105263157894737,64,0.014000000000000012,1678.0,1023.0,1,1
0.5105263157894737,65,0.034,1596.0,3231.0,2,2
0.5105263157894737,66,0.04799999999999999,1631.0,2879.0,1,1
0.5105263157894737,67,0.05199999999999999,2872.0,,1,1
0.5105263157894737,68,0.09,2367.0,2431.0,1,1
0.5105263157894737,69,0.06000000000000001,1860.0,1343.0,1,1
0.5105263157894737,70,-0.034,1044.0,2783.0,1,1
0.5105263157894737,71,0.023999999999999994,1191.0,2335.0,2,2
0.5105263157894737,72,0.05800000000000001,2321.0,2591.0,1,1
0.5105263157894737,73,0.06600000000000002,667.0,191.0,1,1
0.5105263157894737,74,-0.024000000000000007,1800.0,1887.0,1,1
0.5105263157894737,75,0.08800000000000001,212.0,223.0,1,1
0.5105263157894737,76,0.13,271.0,287.0,1,1
0.5105263157894737,77,0.008000000000000007,1984.0,3199.0,1,1
0.5105263157894737,78,0.094,499.0,479.0,1,1
0.5105263157894737,79,0.064,2185.0,1599.0,1,1
0.5105263157894737,80,0.062,891.0,31.0,1,1
0.5105263157894737,81,0.05399999999999999,1053.0,3167.0,2,2
0.5105263157894737,82,0.04400000000000001,1188.0,575.0,1,1
0.5105263157894737,83,0.018000000000000016,1254.0,1919.0,1,1
0.5105263157894737,84,0.07799999999999999,1894.0,3263.0,1,1
0.5105263157894737,85,0.07600000000000001,2257.0,2303.0,1,1
0.5105263157894737,86,0.036000000000000004,1634.0,1439.0,1,1
0.5105263157894737,87,0.13799999999999998,219.0,223.0,1,1
0.5105263157894737,88,0.04000000000000001,1323.0,2943.0,1,1
0.5105263157894737,89,0.036000000000000004,2041.0,,1,1
0.5105263157894737,90,0.098,456.0,479.0,1,1
0.5105263157894737,91,0.08,538.0,575.0,1,1
0.5105263157894737,92,0.116,330.0,351.0,1,1
0.5105263157894737,93,0.032,2454.0,2303.0,1,1
0.5105263157894737,94,0.009999999999999995,1327.0,2463.0,1,1
0.5105263157894737,95,0.132,240.0,159.0,1,1
0.5105263157894737,96,0.078,1823.0,2335.0,1,1
0.5105263157894737,97,0.062,2911.0,2367.0,1,1
0.5105263157894737,98,0.017999999999999988,1250.0,,3,3
0.5105263157894737,99,0.025999999999999995,624.0,1343.0,1,1
