boundary_shift,seed,delta_e,tau_hat,tau_det,n_swaps_post,n_warnings_post
0.30526315789473685,94,0.013999999999999999,968.0,2054.0,1,1
0.30526315789473685,95,0.068,3535.0,3571.0,1,1
0.30526315789473685,96,0.13,1697.0,83.0,1,1
0.30526315789473685,97,0.018000000000000002,3717.0,3782.0,1,1
0.30526315789473685,98,0.008000000000000007,2248.0,3762.0,1,1
0.30526315789473685,99,0.112,51.0,2210.0,2,2
0.30526315789473685,100,0.034,3380.0,3219.0,1,1
0.5105263157894737,1,0.036000000000000004,1397.0,,3,3
0.5105263157894737,2,0.043999999999999984,1581.0,,2,2
0.5105263157894737,3,0.032,2851.0,2676.0,1,1
0.5105263157894737,4,0.07999999999999999,,,0,0
0.5105263157894737,5,0.02400000000000002,1046.0,1045.0,1,1
0.5105263157894737,6,0.086,937.0,956.0,1,1
0.5105263157894737,7,0.07200000000000001,555.0,557.0,1,1
0.5105263157894737,8,0.036000000000000004,1396.0,1185.0,1,1
0.5105263157894737,9,0.04600000000000001,1529.0,,2,2
0.5105263157894737,10,0.0040000000000000036,1256.0,,3,3
0.5105263157894737,11,0.013999999999999999,1181.0,1298.0,1,1
0.5105263157894737,12,0.013999999999999999,533.0,1174.0,1,1
0.5105263157894737,13,0.048000000000000015,2443.0,2409.0,1,1
0.5105263157894737,14,0.0,1794.0,1919.0,1,1
0.5105263157894737,15,0.05,2232.0,1622.0,1,1
0.5105263157894737,16,-0.008000000000000007,896.0,3602.0,2,2
0.5105263157894737,17,0.17200000000000001,248.0,251.0,1,1
0.5105263157894737,18,0.04199999999999998,1446.0,1305.0,1,1
0.5105263157894737,19,0.011999999999999997,2733.0,,1,1
0.5105263157894737,20,-0.022000000000000006,1606.0,1502.0,1,1
0.5105263157894737,21,0.055999999999999994,1669.0,1534.0,1,1
0.5105263157894737,22,0.016,1599.0,1362.0,1,1
0.5105263157894737,23,0.044,717.0,1693.0,1,1
0.5105263157894737,24,0.047999999999999994,2537.0,2653.0,1,1
0.5105263157894737,25,0.036000000000000004,1844.0,1724.0,1,1
0.5105263157894737,26,0.006000000000000005,2014.0,1345.0,1,1
0.5105263157894737,27,0.068,2771.0,1837.0,1,1
0.5105263157894737,28,0.08,3780.0,,1,1
0.5105263157894737,29,0.08600000000000001,445.0,435.0,1,1
0.5105263157894737,30,-0.041999999999999996,1539.0,798.0,1,1
0.5105263157894737,31,0.10200000000000001,197.0,201.0,1,1
0.5105263157894737,32,0.09,621.0,480.0,1,1
0.5105263157894737,33,0.084,521.0,18.0,1,1
0.5105263157894737,34,0.07799999999999999,4.0,1464.0,2,2
0.5105263157894737,35,-0.048000000000000015,789.0,318.0,1,1
0.5105263157894737,36,0.04799999999999999,348.0,1509.0,1,1
0.5105263157894737,37,0.07800000000000001,2234.0,2219.0,1,1
0.5105263157894737,38,0.14200000000000002,286.0,286.0,1,1
0.5105263157894737,39,0.104,1467.0,2408.0,1,1
0.5105263157894737,40,0.013999999999999999,1774.0,1387.0,1,1
0.5105263157894737,41,-0.04400000000000001,772.0,2815.0,2,2
0.5105263157894737,42,-0.014000000000000012,1002.0,1863.0,1,1
0.5105263157894737,43,-0.020000000000000004,1733.0,1797.0,1,1
0.5105263157894737,44,0.0059999999999999915,1945.0,,1,1
0.5105263157894737,45,0.128,314.0,315.0,1,1
0.5105263157894737,46,-0.03,1238.0,1344.0,1,1
0.5105263157894737,47,0.04200000000000001,2809.0,,1,1
0.5105263157894737,48,0.052000000000000005,2758.0,2742.0,1,1
0.5105263157894737,49,0.07400000000000001,2408.0,3841.0,2,2
0.5105263157894737,50,0.049999999999999996,2244.0,,1,1
0.5105263157894737,51,-0.006000000000000005,2001.0,14.0,1,1
0.5105263157894737,52,-0.011999999999999997,18.0,2223.0,2,2
0.5105263157894737,53,0.062,1334.0,,2,2
0.5105263157894737,54,0.078,3986.0,3871.0,1,1
0.5105263157894737,55,-0.009999999999999995,939.0,1735.0,2,2
0.5105263157894737,56,0.020000000000000004,1410.0,2742.0,2,2
0.5105263157894737,57,-0.006000000000000005,1432.0,1419.0,1,1
0.5105263157894737,58,0.098,3654.0,225.0,1,1
0.5105263157894737,59,-0.010000000000000009,3749.0,2054.0,1,1
0.5105263157894737,60,0.04400000000000001,978.0,2829.0,2,2
0.5105263157894737,61,0.058,2813.0,2931.0,1,1
0.5105263157894737,62,-0.048,635.0,1957.0,1,1
0.5105263157894737,63,-0.009999999999999995,912.0,1725.0,2,2
0.5105263157894737,64,0.014000000000000012,1678.0,1020.0,1,1
0.5105263157894737,65,0.034,1596.0,3095.0,2,2
0.5105263157894737,66,0.04799999999999999,1631.0,2825.0,1,1
0.5105263157894737,67,0.05199999999999999,2872.0,,1,1
0.5105263157894737,68,0.09,2367.0,2409.0,1,1
0.5105263157894737,69,0.06000000000000001,1860.0,1378.0,1,1
0.5105263157894737,70,-0.034,1044.0,2828.0,1,1
0.5105263157894737,71,0.023999999999999994,1191.0,2302.0,2,2
0.5105263157894737,72,0.05800000000000001,2321.0,2575.0,1,1
0.5105263157894737,73,0.06600000000000002,667.0,99.0,1,1
0.5105263157894737,74,-0.024000000000000007,1800.0,1885.0,1,1
0.5105263157894737,75,0.08800000000000001,212.0,195.0,1,1
0.5105263157894737,76,0.13,271.0,264.0,1,1
0.5105263157894737,77,0.008000000000000007,1984.0,3198.0,1,1
0.5105263157894737,78,0.094,499.0,433.0,1,1
0.5105263157894737,79,0.064,2185.0,1657.0,1,1
0.5105263157894737,80,0.062,891.0,22.0,1,1
0.5105263157894737,81,0.05399999999999999,1053.0,3150.0,2,2
0.5105263157894737,82,0.04400000000000001,1188.0,747.0,1,1
0.5105263157894737,83,0.018000000000000016,1254.0,1913.0,1,1
0.5105263157894737,84,0.07799999999999999,1894.0,1729.0,1,1
0.5105263157894737,85,0.07600000000000001,2257.0,2288.0,1,1
0.5105263157894737,86,0.036000000000000004,1634.0,1421.0,1,1
0.5105263157894737,87,0.13799999999999998,219.0,175.0,1,1
0.5105263157894737,88,0.04000000000000001,1323.0,1313.0,1,1
0.5105263157894737,89,0.036000000000000004,2041.0,,1,1
0.5105263157894737,90,0.098,456.0,460.0,1,1
0.5105263157894737,91,0.08,538.0,551.0,1,1
0.5105263157894737,92,0.116,330.0,330.0,1,1
0.5105263157894737,93,0.032,2454.0,2260.0,1,1
0.5105263157894737,94,0.009999999999999995,1327.0,2381.0,1,1
0.5105263157894737,95,0.132,240.0,140.0,1,1
0.5105263157894737,96,0.078,1823.0,120.0,1,1
0.5105263157894737,97,0.062,2911.0,,1,1
0.5105263157894737,98,0.017999999999999988,1250.0,,3,3
0.5105263157894737,99,0.025999999999999995,624.0,617.0,1,1
0.5105263157894737,100,0.082,2878.0,730.0,1,1
0.7157894736842105,1,0.06799999999999999,1364.0,3710.0,3,3
0.7157894736842105,2,0.07399999999999998,1423.0,400.0,1,1
0.7157894736842105,3,0.06,2096.0,1975.0,1,1
0.7157894736842105,4,0.13999999999999999,152.0,153.0,1,1
0.7157894736842105,5,0.008000000000000007,906.0,909.0,1,1
0.7157894736842105,6,0.172,330.0,336.0,1,1
0.7157894736842105,7,0.08,142.0,142.0,1,1
0.7157894736842105,8,0.057999999999999996,1284.0,1258.0,1,1
0.7157894736842105,9,0.05200000000000002,1599.0,1635.0,1,1
0.7157894736842105,10,0.038000000000000006,1045.0,1933.0,1,1
0.7157894736842105,11,0.05399999999999999,1256.0,155.0,1,1
0.7157894736842105,12,0.046,618.0,2475.0,3,3
0.7157894736842105,13,0.07400000000000001,2955.0,256.0,1,1
0.7157894736842105,14,0.014000000000000012,1034.0,1097.0,1,1
0.7157894736842105,15,0.06999999999999999,1493.0,1450.0,1,1
0.7157894736842105,16,0.03,1053.0,2293.0,1,1
0.7157894736842105,17,0.122,215.0,220.0,1,1
0.7157894736842105,18,0.021999999999999992,605.0,2240.0,2,2
0.7157894736842105,19,0.022000000000000006,1826.0,3567.0,2,2
0.7157894736842105,20,0.013999999999999985,363.0,2560.0,3,3
0.7157894736842105,21,0.07600000000000001,2017.0,1989.0,1,1
0.7157894736842105,22,0.034,1858.0,1677.0,1,1
0.7157894736842105,23,0.027999999999999997,568.0,1776.0,1,1
0.7157894736842105,24,0.088,3234.0,3209.0,1,1
0.7157894736842105,25,0.064,1361.0,1340.0,1,1
0.7157894736842105,26,0.009999999999999995,1520.0,1272.0,1,1
0.7157894736842105,27,0.11600000000000002,150.0,146.0,1,1
0.7157894736842105,28,0.14,206.0,190.0,1,1
0.7157894736842105,29,0.12200000000000001,399.0,383.0,1,1
0.7157894736842105,30,-0.025999999999999995,785.0,1617.0,1,1
0.7157894736842105,31,0.10600000000000001,123.0,123.0,1,1
0.7157894736842105,32,0.10799999999999998,185.0,147.0,1,1
0.7157894736842105,33,0.05,560.0,16.0,1,1
0.7157894736842105,34,0.057999999999999996,4.0,2640.0,3,3
0.7157894736842105,35,-0.014000000000000012,1157.0,612.0,1,1
0.7157894736842105,36,0.055999999999999994,336.0,1537.0,2,2
0.7157894736842105,37,0.10200000000000001,97.0,97.0,1,1
0.7157894736842105,38,0.11399999999999999,221.0,210.0,1,1
0.7157894736842105,39,0.074,911.0,1998.0,1,1
0.7157894736842105,40,0.027999999999999997,1483.0,1382.0,1,1
0.7157894736842105,41,-0.032,828.0,1549.0,1,1
0.7157894736842105,42,0.006000000000000005,1226.0,2491.0,2,2
0.7157894736842105,43,-0.013999999999999999,708.0,3616.0,3,3
0.7157894736842105,44,0.045999999999999985,980.0,3473.0,3,3
0.7157894736842105,45,0.074,116.0,116.0,1,1
0.7157894736842105,46,-0.021999999999999992,1302.0,2435.0,1,1
0.7157894736842105,47,0.068,2345.0,3833.0,1,1
0.7157894736842105,48,0.06600000000000002,137.0,133.0,1,1
0.7157894736842105,49,0.10200000000000001,204.0,176.0,1,1
0.7157894736842105,50,0.10200000000000001,2051.0,2049.0,1,1
0.7157894736842105,51,0.017999999999999988,1556.0,14.0,1,1
0.7157894736842105,52,0.046,1852.0,2068.0,1,1
0.7157894736842105,53,0.013999999999999999,1792.0,1906.0,1,1
0.7157894736842105,54,0.134,338.0,350.0,1,1
0.7157894736842105,55,0.0020000000000000018,616.0,2188.0,1,1
0.7157894736842105,56,0.05,2236.0,,1,1
0.7157894736842105,57,0.0020000000000000018,1723.0,1724.0,1,1
0.7157894736842105,58,0.14200000000000002,199.0,92.0,1,1
0.7157894736842105,59,0.013999999999999999,1157.0,1083.0,1,1
0.7157894736842105,60,0.068,1551.0,1633.0,1,1
0.7157894736842105,61,0.096,2031.0,2015.0,1,1
0.7157894736842105,62,-0.016000000000000014,756.0,1984.0,1,1
0.7157894736842105,63,0.025999999999999995,1098.0,147.0,1,1
0.7157894736842105,64,0.055999999999999994,1573.0,1441.0,1,1
0.7157894736842105,65,0.06399999999999999,2162.0,3192.0,1,1
0.7157894736842105,66,0.07400000000000001,1408.0,1407.0,1,1
0.7157894736842105,67,0.1,1738.0,1700.0,1,1
0.7157894736842105,68,0.128,2508.0,220.0,1,1
0.7157894736842105,69,0.084,1588.0,1489.0,1,1
0.7157894736842105,70,-0.03,684.0,2372.0,1,1
0.7157894736842105,71,0.046,1598.0,2329.0,1,1
0.7157894736842105,72,0.09599999999999999,1692.0,177.0,1,1
0.7157894736842105,73,0.106,710.0,35.0,1,1
0.7157894736842105,74,0.016,2213.0,,1,1
0.7157894736842105,75,0.09999999999999999,119.0,97.0,1,1
0.7157894736842105,76,0.126,76.0,76.0,1,1
0.7157894736842105,77,0.025999999999999995,1471.0,1586.0,1,1
0.7157894736842105,78,0.15,219.0,112.0,1,1
0.7157894736842105,79,0.064,1381.0,2224.0,1,1
0.7157894736842105,80,0.07999999999999999,548.0,17.0,1,1
0.7157894736842105,81,0.088,1980.0,1870.0,1,1
0.7157894736842105,82,0.057999999999999996,1083.0,895.0,1,1
0.7157894736842105,83,0.021999999999999992,1614.0,2330.0,1,1
0.7157894736842105,84,0.096,2053.0,1922.0,1,1
0.7157894736842105,85,0.11000000000000001,2756.0,244.0,1,1
0.7157894736842105,86,0.055999999999999994,1715.0,1436.0,1,1
0.7157894736842105,87,0.11199999999999999,135.0,130.0,1,1
0.7157894736842105,88,0.05400000000000002,999.0,1912.0,1,1
0.7157894736842105,89,0.072,1986.0,,1,1
0.7157894736842105,90,0.094,254.0,254.0,1,1
0.7157894736842105,91,0.09200000000000001,139.0,142.0,1,1
0.7157894736842105,92,0.11800000000000001,290.0,289.0,1,1
0.7157894736842105,93,0.05600000000000001,2259.0,2258.0,1,1
0.7157894736842105,94,0.011999999999999997,2101.0,2103.0,1,1
0.7157894736842105,95,0.096,83.0,79.0,1,1
0.7157894736842105,96,0.1,1108.0,139.0,1,1
0.7157894736842105,97,0.086,263.0,221.0,1,1
0.7157894736842105,98,0.016000000000000014,770.0,1699.0,1,1
0.7157894736842105,99,0.09200000000000001,1668.0,1517.0,1,1
0.7157894736842105,100,0.15000000000000002,179.0,133.0,1,1
0.9210526315789473,1,0.08,1086.0,2276.0,1,1
0.9210526315789473,2,0.086,1383.0,439.0,1,1
0.9210526315789473,3,0.08000000000000002,163.0,163.0,1,1
0.9210526315789473,4,0.12,142.0,144.0,1,1
0.9210526315789473,5,0.01200000000000001,1443.0,1681.0,1,1
0.9210526315789473,6,0.13,58.0,58.0,1,1
0.9210526315789473,7,0.09200000000000001,90.0,90.0,1,1
0.9210526315789473,8,0.092,94.0,88.0,1,1
0.9210526315789473,9,0.09,1167.0,1206.0,1,1
0.9210526315789473,10,0.07200000000000001,1004.0,1570.0,1,1
0.9210526315789473,11,0.038000000000000006,672.0,65.0,1,1
0.9210526315789473,12,0.048,578.0,1587.0,1,1
0.9210526315789473,13,0.07200000000000001,102.0,102.0,1,1
0.9210526315789473,14,0.020000000000000004,830.0,2278.0,2,2
0.9210526315789473,15,0.09999999999999999,226.0,226.0,1,1
0.9210526315789473,16,0.01999999999999999,860.0,1756.0,1,1
0.9210526315789473,17,0.10800000000000001,164.0,171.0,1,1
0.9210526315789473,18,0.032,697.0,2722.0,1,1
0.9210526315789473,19,0.0040000000000000036,2955.0,3034.0,1,1
0.9210526315789473,20,-0.018000000000000002,574.0,1806.0,1,1
0.9210526315789473,21,0.098,230.0,230.0,1,1
0.9210526315789473,22,0.05399999999999999,1405.0,1348.0,1,1
0.9210526315789473,23,0.06599999999999999,790.0,1914.0,1,1
0.9210526315789473,24,0.10200000000000001,111.0,114.0,1,1
0.9210526315789473,25,0.07200000000000001,1183.0,3970.0,2,2
0.9210526315789473,26,0.032,1898.0,1751.0,1,1
0.9210526315789473,27,0.08600000000000002,109.0,105.0,1,1
0.9210526315789473,28,0.13,92.0,80.0,1,1
0.9210526315789473,29,0.114,85.0,84.0,1,1
0.9210526315789473,30,-0.03,830.0,,4,4
0.9210526315789473,31,0.122,105.0,105.0,1,1
0.9210526315789473,32,0.10999999999999999,114.0,81.0,1,1
0.9210526315789473,33,0.03599999999999999,570.0,9.0,1,1
0.9210526315789473,34,0.08199999999999999,1649.0,195.0,1,1
0.9210526315789473,35,-0.02800000000000001,778.0,489.0,1,1
0.9210526315789473,36,0.05199999999999999,736.0,1635.0,1,1
0.9210526315789473,37,0.1,62.0,62.0,1,1
0.9210526315789473,38,0.094,162.0,161.0,1,1
0.9210526315789473,39,0.074,569.0,1278.0,1,1
0.9210526315789473,40,0.044,1228.0,1363.0,1,1
0.9210526315789473,41,-0.020000000000000018,676.0,1330.0,1,1
0.9210526315789473,42,0.04200000000000001,1140.0,1710.0,1,1
0.9210526315789473,43,-0.0059999999999999915,923.0,2338.0,1,1
0.9210526315789473,44,0.04999999999999999,924.0,,2,2
0.9210526315789473,45,0.057999999999999996,58.0,59.0,1,1
0.9210526315789473,46,-0.0040000000000000036,853.0,1711.0,1,1
0.9210526315789473,47,0.10800000000000001,2286.0,417.0,1,1
0.9210526315789473,48,0.16799999999999998,143.0,143.0,1,1
0.9210526315789473,49,0.094,103.0,91.0,1,1
0.9210526315789473,50,0.118,2095.0,3413.0,1,1
0.9210526315789473,51,0.07199999999999998,1082.0,14.0,1,1
0.9210526315789473,52,0.072,1433.0,3227.0,1,1
0.9210526315789473,53,0.03399999999999999,1829.0,,1,1
0.9210526315789473,54,0.12399999999999999,120.0,113.0,1,1
0.9210526315789473,55,0.024000000000000007,386.0,1000.0,1,1
0.9210526315789473,56,0.052000000000000005,1000.0,2161.0,1,1
0.9210526315789473,57,0.021999999999999992,902.0,901.0,1,1
0.9210526315789473,58,0.098,78.0,74.0,1,1
0.9210526315789473,59,0.016,1834.0,1340.0,1,1
0.9210526315789473,60,0.088,1144.0,140.0,1,1
