delta_e,W_estimator,lambda,n,W_mean,mu,mu_W_mean,vacant_at_mean_W,bound_at_mean_W,frac_runs_vacant,bound_plugin
0.390998,tau_swap^(1/M),25.0,100,43.9,0.380998,16.73,False,1.0,0.07,0.553584494182416
0.390998,tau_swap^(1/M),50.0,100,43.9,0.380998,16.73,False,5.5780864417920745e-21,0.0,0.010105143201229218
0.390998,tau_erase (argmax A_unrefl),8.0,100,473.6,0.380998,180.46,True,1.0,1.0,1.0
0.390998,tau_erase (argmax A_unrefl),15.0,100,473.6,0.380998,180.46,True,1.0,1.0,1.0
0.390998,tau_erase (argmax A_unrefl),25.0,100,473.6,0.380998,180.46,True,1.0,1.0,1.0
0.390998,tau_erase (argmax A_unrefl),50.0,100,473.6,0.380998,180.46,True,1.0,0.99,1.0
0.390998,tau_err(0.10),8.0,100,505.2,0.380998,192.49,True,1.0,1.0,1.0
0.390998,tau_err(0.10),15.0,100,505.2,0.380998,192.49,True,1.0,1.0,1.0
0.390998,tau_err(0.10),25.0,100,505.2,0.380998,192.49,True,1.0,1.0,1.0
0.390998,tau_err(0.10),50.0,100,505.2,0.380998,192.49,True,1.0,1.0,1.0
0.415743,tau_swap^(1/M),8.0,100,41.1,0.405743,16.69,True,1.0,1.0,1.0
0.415743,tau_swap^(1/M),15.0,100,41.1,0.405743,16.69,True,1.0,0.63,0.9917468288957326
0.415743,tau_swap^(1/M),25.0,100,41.1,0.405743,16.69,False,1.0,0.05,0.49785628101839313
0.415743,tau_swap^(1/M),50.0,100,41.1,0.405743,16.69,False,1.513151104748685e-22,0.0,0.013183277173634727
0.415743,tau_erase (argmax A_unrefl),8.0,100,438.4,0.405743,177.87,True,1.0,1.0,1.0
0.415743,tau_erase (argmax A_unrefl),15.0,100,438.4,0.405743,177.87,True,1.0,1.0,1.0
0.415743,tau_erase (argmax A_unrefl),25.0,100,438.4,0.405743,177.87,True,1.0,1.0,1.0
0.415743,tau_erase (argmax A_unrefl),50.0,100,438.4,0.405743,177.87,True,1.0,0.95,0.9960536679878086
0.415743,tau_err(0.10),8.0,100,498.4,0.405743,202.22,True,1.0,1.0,1.0
0.415743,tau_err(0.10),15.0,100,498.4,0.405743,202.22,True,1.0,1.0,1.0
0.415743,tau_err(0.10),25.0,100,498.4,0.405743,202.22,True,1.0,1.0,1.0
0.415743,tau_err(0.10),50.0,100,498.4,0.405743,202.22,True,1.0,1.0,1.0
0.436013,tau_swap^(1/M),8.0,100,37.5,0.426013,15.99,True,1.0,1.0,1.0
0.436013,tau_swap^(1/M),15.0,100,37.5,0.426013,15.99,True,1.0,0.57,0.9840621177918689
0.436013,tau_swap^(1/M),25.0,100,37.5,0.426013,15.99,False,0.49799845174771556,0.06,0.46199833056495393
0.436013,tau_swap^(1/M),50.0,100,37.5,0.426013,15.99,False,6.539803486389996e-26,0.0,0.004145498888176607
0.436013,tau_erase (argmax A_unrefl),8.0,100,371.9,0.426013,158.42,True,1.0,1.0,1.0
0.436013,tau_erase (argmax A_unrefl),15.0,100,371.9,0.426013,158.42,True,1.0,1.0,1.0
0.436013,tau_erase (argmax A_unrefl),25.0,100,371.9,0.426013,158.42,True,1.0,0.99,1.0
0.436013,tau_erase (argmax A_unrefl),50.0,100,371.9,0.426013,158.42,True,1.0,0.88,0.9800000037544174
0.436013,tau_err(0.10),8.0,100,477.3,0.426013,203.33,True,1.0,1.0,1.0
0.436013,tau_err(0.10),15.0,100,477.3,0.426013,203.33,True,1.0,1.0,1.0
0.436013,tau_err(0.10),25.0,100,477.3,0.426013,203.33,True,1.0,1.0,1.0
0.436013,tau_err(0.10),50.0,100,477.3,0.426013,203.33,True,1.0,1.0,1.0
0.452271,tau_swap^(1/M),8.0,100,35.3,0.442271,15.6,True,1.0,1.0,1.0
0.452271,tau_swap^(1/M),15.0,100,35.3,0.442271,15.6,True,1.0,0.53,0.9894991144132763
0.452271,tau_swap^(1/M),25.0,100,35.3,0.442271,15.6,False,0.2348912952364723,0.05,0.4520243477665805
0.452271,tau_swap^(1/M),50.0,100,35.3,0.442271,15.6,False,2.5299419177736387e-28,0.0,0.00988255598093466
0.452271,tau_erase (argmax A_unrefl),8.0,100,312.8,0.442271,138.32,True,1.0,1.0,1.0
0.452271,tau_erase (argmax A_unrefl),15.0,100,312.8,0.442271,138.32,True,1.0,0.98,1.0
0.452271,tau_erase (argmax A_unrefl),25.0,100,312.8,0.442271,138.32,True,1.0,0.95,0.9800832222584481
0.452271,tau_erase (argmax A_unrefl),50.0,100,312.8,0.442271,138.32,True,1.0,0.85,0.9126688496043023
0.452271,tau_err(0.10),8.0,100,431.0,0.442271,190.61,True,1.0,1.0,1.0
0.452271,tau_err(0.10),15.0,100,431.0,0.442271,190.61,True,1.0,1.0,1.0
0.452271,tau_err(0.10),25.0,100,431.0,0.442271,190.61,True,1.0,1.0,1.0
0.452271,tau_err(0.10),50.0,100,431.0,0.442271,190.61,True,1.0,1.0,1.0
0.46504,tau_swap^(1/M),8.0,100,34.3,0.45504,15.6,True,1.0,1.0,1.0
0.46504,tau_swap^(1/M),15.0,100,34.3,0.45504,15.6,True,1.0,0.52,0.9850320883360346
0.46504,tau_swap^(1/M),25.0,100,34.3,0.45504,15.6,False,0.19885213582319683,0.05,0.435493558747323
0.46504,tau_swap^(1/M),50.0,100,34.3,0.45504,15.6,False,3.678275751336427e-29,0.0,0.01000035711733853
0.46504,tau_erase (argmax A_unrefl),8.0,100,216.3,0.45504,98.43,True,1.0,1.0,1.0
0.46504,tau_erase (argmax A_unrefl),15.0,100,216.3,0.45504,98.43,True,1.0,0.98,1.0
0.46504,tau_erase (argmax A_unrefl),25.0,100,216.3,0.45504,98.43,True,1.0,0.88,0.9649340480421622
0.46504,tau_erase (argmax A_unrefl),50.0,100,216.3,0.45504,98.43,True,1.0,0.69,0.7992222135769518
0.46504,tau_err(0.10),8.0,100,403.9,0.45504,183.81,True,1.0,1.0,1.0
0.46504,tau_err(0.10),15.0,100,403.9,0.45504,183.81,True,1.0,1.0,1.0
0.46504,tau_err(0.10),25.0,100,403.9,0.45504,183.81,True,1.0,1.0,1.0
0.46504,tau_err(0.10),50.0,100,403.9,0.45504,183.81,True,1.0,1.0,1.0
0.47486,tau_swap^(1/M),8.0,100,33.7,0.46486,15.66,True,1.0,1.0,1.0
0.47486,tau_swap^(1/M),15.0,100,33.7,0.46486,15.66,True,1.0,0.49,0.9846685330721776
0.47486,tau_swap^(1/M),25.0,100,33.7,0.46486,15.66,False,0.1900884460780882,0.05,0.42028222893064593
0.47486,tau_swap^(1/M),50.0,100,33.7,0.46486,15.66,False,1.338712218182691e-29,0.0,0.0100007702994766
0.47486,tau_erase (argmax A_unrefl),8.0,100,155.1,0.46486,72.1,True,1.0,1.0,1.0
0.47486,tau_erase (argmax A_unrefl),15.0,100,155.1,0.46486,72.1,True,1.0,0.97,1.0
0.47486,tau_erase (argmax A_unrefl),25.0,100,155.1,0.46486,72.1,True,1.0,0.82,0.9607572518018874
0.47486,tau_erase (argmax A_unrefl),50.0,100,155.1,0.46486,72.1,True,1.0,0.54,0.7106308496199708
0.47486,tau_err(0.10),8.0,100,371.8,0.46486,172.84,True,1.0,1.0,1.0
0.47486,tau_err(0.10),15.0,100,371.8,0.46486,172.84,True,1.0,1.0,1.0
0.47486,tau_err(0.10),25.0,100,371.8,0.46486,172.84,True,1.0,1.0,1.0
0.47486,tau_err(0.10),50.0,100,371.8,0.46486,172.84,True,1.0,1.0,1.0
0.482255,tau_swap^(1/M),8.0,100,33.1,0.472255,15.63,True,1.0,1.0,1.0
0.482255,tau_swap^(1/M),15.0,100,33.1,0.472255,15.63,True,1.0,0.47,0.9874402114834472
0.482255,tau_swap^(1/M),25.0,100,33.1,0.472255,15.63,False,0.16352126737187098,0.05,0.39134862528942177
0.482255,tau_swap^(1/M),50.0,100,33.1,0.472255,15.63,False,3.2057669417513965e-30,0.0,0.010000013445185587
0.482255,tau_erase (argmax A_unrefl),8.0,100,98.4,0.472255,46.48,True,1.0,1.0,1.0
0.482255,tau_erase (argmax A_unrefl),15.0,100,98.4,0.472255,46.48,True,1.0,0.95,1.0
0.482255,tau_erase (argmax A_unrefl),25.0,100,98.4,0.472255,46.48,True,1.0,0.67,0.9365028663405585
0.482255,tau_erase (argmax A_unrefl),50.0,100,98.4,0.472255,46.48,False,1.0,0.32,0.506115545541566
0.482255,tau_err(0.10),8.0,100,345.9,0.472255,163.34,True,1.0,1.0,1.0
0.482255,tau_err(0.10),15.0,100,345.9,0.472255,163.34,True,1.0,1.0,1.0
0.482255,tau_err(0.10),25.0,100,345.9,0.472255,163.34,True,1.0,1.0,1.0
0.482255,tau_err(0.10),50.0,100,345.9,0.472255,163.34,True,1.0,1.0,1.0
0.487707,tau_swap^(1/M),8.0,100,32.2,0.477707,15.4,True,1.0,1.0,1.0
0.487707,tau_swap^(1/M),15.0,100,32.2,0.477707,15.4,True,1.0,0.43,0.9841837178472871
0.487707,tau_swap^(1/M),25.0,100,32.2,0.477707,15.4,False,0.10538103720433893,0.04,0.3450034074919081
0.487707,tau_swap^(1/M),50.0,100,32.2,0.477707,15.4,False,1.7322822258904466e-31,0.0,0.010000008576621472
