Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,11
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,11
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,11
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,11
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,11
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,11
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,11
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,11
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,11
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,11
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,11
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,12
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,12
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,12
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,12
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,12
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,12
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,12
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,12
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,12
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,12
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,12
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,12
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,13
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,13
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,13
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,13
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,13
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,13
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,13
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,13
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,13
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,13
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,13
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,13
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,14
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,14
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,14
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,14
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,14
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,14
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,14
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,14
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,14
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,14
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,14
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,14
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,15
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,15
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,15
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,15
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,15
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,15
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,15
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,15
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,15
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,15
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,15
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,15
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,16
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,16
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,16
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,16
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,16
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,16
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,16
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,16
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,16
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,16
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,16
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,16
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,17
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,17
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,17
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,17
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,17
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,17
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,17
