boundary_shift,delta_e,lambda,M,tau_det_star,n_hat,censored_frac_hat,F_hat,bound_boole,bound_jensen,measured_pmiss,measured_source,measured_n,measured_wilson_lo,measured_wilson_hi,censored_frac_arf,min_tau_hat,min_tau_arf
0.510526,0.1409,15.0,5,114.55,100,0.01,0.02,0.1,0.096079,,,0,,,0.0,4.0,5.0
0.510526,0.1409,15.0,10,114.55,100,0.01,0.02,0.2,0.182927,0.13,R2_A tau_arf,100,0.0776,0.2098,0.0,4.0,5.0
0.510526,0.1409,15.0,20,114.55,100,0.01,0.02,0.4,0.332392,,,0,,,0.0,4.0,5.0
0.510526,0.1409,15.0,50,114.55,100,0.01,0.02,1.0,0.63583,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,1,190.91,100,0.01,0.02,0.02,0.02,0.02,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.510526,0.1409,25.0,2,190.91,100,0.01,0.02,0.04,0.0396,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,3,190.91,100,0.01,0.02,0.06,0.058808,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,5,190.91,100,0.01,0.02,0.1,0.096079,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,10,190.91,100,0.01,0.02,0.2,0.182927,0.29,R2_A tau_arf,100,0.2101,0.3854,0.0,4.0,5.0
0.510526,0.1409,25.0,20,190.91,100,0.01,0.02,0.4,0.332392,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,50,190.91,100,0.01,0.02,1.0,0.63583,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,1,381.83,100,0.01,0.12,0.12,0.12,0.12,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.510526,0.1409,50.0,2,381.83,100,0.01,0.12,0.24,0.2256,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,3,381.83,100,0.01,0.12,0.36,0.318528,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,5,381.83,100,0.01,0.12,0.6,0.472268,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,10,381.83,100,0.01,0.12,1.0,0.721499,0.65,R2_A tau_arf,100,0.5525,0.7364,0.0,4.0,5.0
0.510526,0.1409,50.0,20,381.83,100,0.01,0.12,1.0,0.922437,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,50,381.83,100,0.01,0.12,1.0,0.998325,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,1,43.57,100,0.0,0.01,0.01,0.01,0.01,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.715789,0.1936,8.0,2,43.57,100,0.0,0.01,0.02,0.0199,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,3,43.57,100,0.0,0.01,0.03,0.029701,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,5,43.57,100,0.0,0.01,0.05,0.04901,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,10,43.57,100,0.0,0.01,0.1,0.095618,0.04,R2_A tau_arf,100,0.0157,0.0984,0.0,4.0,5.0
0.715789,0.1936,8.0,20,43.57,100,0.0,0.01,0.2,0.182093,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,50,43.57,100,0.0,0.01,0.5,0.394994,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,1,81.69,100,0.0,0.02,0.02,0.02,0.02,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.715789,0.1936,15.0,2,81.69,100,0.0,0.02,0.04,0.0396,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,3,81.69,100,0.0,0.02,0.06,0.058808,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,5,81.69,100,0.0,0.02,0.1,0.096079,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,10,81.69,100,0.0,0.02,0.2,0.182927,0.13,R2_A tau_arf,100,0.0776,0.2098,0.0,4.0,5.0
0.715789,0.1936,15.0,20,81.69,100,0.0,0.02,0.4,0.332392,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,50,81.69,100,0.0,0.02,1.0,0.63583,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,1,136.15,100,0.0,0.08,0.08,0.08,0.08,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.715789,0.1936,25.0,2,136.15,100,0.0,0.08,0.16,0.1536,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,3,136.15,100,0.0,0.08,0.24,0.221312,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,5,136.15,100,0.0,0.08,0.4,0.340918,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,10,136.15,100,0.0,0.08,0.8,0.565612,0.48,R2_A tau_arf,100,0.3846,0.5768,0.0,4.0,5.0
0.715789,0.1936,25.0,20,136.15,100,0.0,0.08,1.0,0.811307,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,50,136.15,100,0.0,0.08,1.0,0.984534,,,0,,,0.0,4.0,5.0
0.715789,0.1936,50.0,1,272.3,100,0.0,0.23,0.23,0.23,0.23,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.715789,0.1936,50.0,2,272.3,100,0.0,0.23,0.46,0.4071,,,0,,,0.0,4.0,5.0
0.715789,0.1936,50.0,3,272.3,100,0.0,0.23,0.69,0.543467,,,0,,,0.0,4.0,5.0
0.715789,0.1936,50.0,5,272.3,100,0.0,0.23,1.0,0.729322,,,0,,,0.0,4.0,5.0
0.715789,0.1936,50.0,10,272.3,100,0.0,0.23,1.0,0.926733,0.89,R2_A tau_arf,100,0.8137,0.9375,0.0,4.0,5.0
0.715789,0.1936,50.0,20,272.3,100,0.0,0.23,1.0,0.994632,,,0,,,0.0,4.0,5.0
0.715789,0.1936,50.0,50,272.3,100,0.0,0.23,1.0,0.999998,,,0,,,0.0,4.0,5.0
0.921053,0.2426,8.0,1,34.4,100,0.0,0.0,0.0,0.0,0.0,R6 tau_hat (identity),100,,,0.0,46.0,5.0
0.921053,0.2426,8.0,2,34.4,100,0.0,0.0,0.0,0.0,,,0,,,0.0,46.0,5.0
0.921053,0.2426,8.0,3,34.4,100,0.0,0.0,0.0,0.0,,,0,,,0.0,46.0,5.0
0.921053,0.2426,8.0,5,34.4,100,0.0,0.0,0.0,0.0,,,0,,,0.0,46.0,5.0
0.921053,0.2426,8.0,10,34.4,100,0.0,0.0,0.0,0.0,0.02,R2_A tau_arf,100,0.0055,0.07,0.0,46.0,5.0
0.921053,0.2426,8.0,20,34.4,100,0.0,0.0,0.0,0.0,,,0,,,0.0,46.0,5.0
0.921053,0.2426,8.0,50,34.4,100,0.0,0.0,0.0,0.0,,,0,,,0.0,46.0,5.0
0.921053,0.2426,15.0,1,64.5,100,0.0,0.05,0.05,0.05,0.05,R6 tau_hat (identity),100,,,0.0,46.0,5.0
0.921053,0.2426,15.0,2,64.5,100,0.0,0.05,0.1,0.0975,,,0,,,0.0,46.0,5.0
0.921053,0.2426,15.0,3,64.5,100,0.0,0.05,0.15,0.142625,,,0,,,0.0,46.0,5.0
0.921053,0.2426,15.0,5,64.5,100,0.0,0.05,0.25,0.226219,,,0,,,0.0,46.0,5.0
0.921053,0.2426,15.0,10,64.5,100,0.0,0.05,0.5,0.401263,0.26,R2_A tau_arf,100,0.184,0.3537,0.0,46.0,5.0
0.921053,0.2426,15.0,20,64.5,100,0.0,0.05,1.0,0.641514,,,0,,,0.0,46.0,5.0
0.921053,0.2426,15.0,50,64.5,100,0.0,0.05,1.0,0.923055,,,0,,,0.0,46.0,5.0
0.921053,0.2426,25.0,1,107.5,100,0.0,0.18,0.18,0.18,0.18,R6 tau_hat (identity),100,,,0.0,46.0,5.0
0.921053,0.2426,25.0,2,107.5,100,0.0,0.18,0.36,0.3276,,,0,,,0.0,46.0,5.0
0.921053,0.2426,25.0,3,107.5,100,0.0,0.18,0.54,0.448632,,,0,,,0.0,46.0,5.0
0.921053,0.2426,25.0,5,107.5,100,0.0,0.18,0.9,0.62926,,,0,,,0.0,46.0,5.0
0.921053,0.2426,25.0,10,107.5,100,0.0,0.18,1.0,0.862552,0.72,R2_A tau_arf,100,0.6251,0.7986,0.0,46.0,5.0
0.921053,0.2426,25.0,20,107.5,100,0.0,0.18,1.0,0.981108,,,0,,,0.0,46.0,5.0
0.921053,0.2426,25.0,50,107.5,100,0.0,0.18,1.0,0.999951,,,0,,,0.0,46.0,5.0
0.921053,0.2426,50.0,1,214.99,100,0.0,0.34,0.34,0.34,0.34,R6 tau_hat (identity),100,,,0.0,46.0,5.0
0.921053,0.2426,50.0,2,214.99,100,0.0,0.34,0.68,0.5644,,,0,,,0.0,46.0,5.0
0.921053,0.2426,50.0,3,214.99,100,0.0,0.34,1.0,0.712504,,,0,,,0.0,46.0,5.0
0.921053,0.2426,50.0,5,214.99,100,0.0,0.34,1.0,0.874767,,,0,,,0.0,46.0,5.0
0.921053,0.2426,50.0,10,214.99,100,0.0,0.34,1.0,0.984317,0.94,R2_A tau_arf,100,0.8752,0.9722,0.0,46.0,5.0
0.921053,0.2426,50.0,20,214.99,100,0.0,0.34,1.0,0.999754,,,0,,,0.0,46.0,5.0
0.921053,0.2426,50.0,50,214.99,100,0.0,0.34,1.0,1.0,,,0,,,0.0,46.0,5.0
1.126316,0.2871,8.0,1,28.87,100,0.0,0.0,0.0,0.0,0.0,R6 tau_hat (identity),100,,,0.0,42.0,25.0
1.126316,0.2871,8.0,2,28.87,100,0.0,0.0,0.0,0.0,,,0,,,0.0,42.0,25.0
1.126316,0.2871,8.0,3,28.87,100,0.0,0.0,0.0,0.0,,,0,,,0.0,42.0,25.0
1.126316,0.2871,8.0,5,28.87,100,0.0,0.0,0.0,0.0,,,0,,,0.0,42.0,25.0
1.126316,0.2871,8.0,10,28.87,100,0.0,0.0,0.0,0.0,0.02,R2_A tau_arf,100,0.0055,0.07,0.0,42.0,25.0
1.126316,0.2871,8.0,20,28.87,100,0.0,0.0,0.0,0.0,,,0,,,0.0,42.0,25.0
1.126316,0.2871,8.0,50,28.87,100,0.0,0.0,0.0,0.0,,,0,,,0.0,42.0,25.0
1.126316,0.2871,15.0,1,54.13,100,0.0,0.07,0.07,0.07,0.07,R6 tau_hat (identity),100,,,0.0,42.0,25.0
1.126316,0.2871,15.0,2,54.13,100,0.0,0.07,0.14,0.1351,,,0,,,0.0,42.0,25.0
1.126316,0.2871,15.0,3,54.13,100,0.0,0.07,0.21,0.195643,,,0,,,0.0,42.0,25.0
1.126316,0.2871,15.0,5,54.13,100,0.0,0.07,0.35,0.304312,,,0,,,0.0,42.0,25.0
1.126316,0.2871,15.0,10,54.13,100,0.0,0.07,0.7,0.516018,0.3,R2_A tau_arf,100,0.2189,0.3958,0.0,42.0,25.0
1.126316,0.2871,15.0,20,54.13,100,0.0,0.07,1.0,0.765761,,,0,,,0.0,42.0,25.0
1.126316,0.2871,15.0,50,54.13,100,0.0,0.07,1.0,0.973445,,,0,,,0.0,42.0,25.0
1.126316,0.2871,25.0,1,90.22,100,0.0,0.26,0.26,0.26,0.26,R6 tau_hat (identity),100,,,0.0,42.0,25.0
1.126316,0.2871,25.0,2,90.22,100,0.0,0.26,0.52,0.4524,,,0,,,0.0,42.0,25.0
1.126316,0.2871,25.0,3,90.22,100,0.0,0.26,0.78,0.594776,,,0,,,0.0,42.0,25.0
1.126316,0.2871,25.0,5,90.22,100,0.0,0.26,1.0,0.778099,,,0,,,0.0,42.0,25.0
1.126316,0.2871,25.0,10,90.22,100,0.0,0.26,1.0,0.95076,0.75,R2_A tau_arf,100,0.657,0.8245,0.0,42.0,25.0
1.126316,0.2871,25.0,20,90.22,100,0.0,0.26,1.0,0.997575,,,0,,,0.0,42.0,25.0
1.126316,0.2871,25.0,50,90.22,100,0.0,0.26,1.0,1.0,,,0,,,0.0,42.0,25.0
1.126316,0.2871,50.0,1,180.44,100,0.0,0.43,0.43,0.43,0.43,R6 tau_hat (identity),100,,,0.0,42.0,25.0
1.126316,0.2871,50.0,2,180.44,100,0.0,0.43,0.86,0.6751,,,0,,,0.0,42.0,25.0
1.126316,0.2871,50.0,3,180.44,100,0.0,0.43,1.0,0.814807,,,0,,,0.0,42.0,25.0
1.126316,0.2871,50.0,5,180.44,100,0.0,0.43,1.0,0.939831,,,0,,,0.0,42.0,25.0
1.126316,0.2871,50.0,10,180.44,100,0.0,0.43,1.0,0.99638,0.98,R2_A tau_arf,100,0.93,0.9945,0.0,42.0,25.0
1.126316,0.2871,50.0,20,180.44,100,0.0,0.43,1.0,0.999987,,,0,,,0.0,42.0,25.0
1.126316,0.2871,50.0,50,180.44,100,0.0,0.43,1.0,1.0,,,0,,,0.0,42.0,25.0
1.331579,0.3268,8.0,1,25.25,100,0.0,0.0,0.0,0.0,0.0,R6 tau_hat (identity),100,,,0.0,33.0,24.0
1.331579,0.3268,8.0,2,25.25,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,24.0
1.331579,0.3268,8.0,3,25.25,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,24.0
1.331579,0.3268,8.0,5,25.25,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,24.0
1.331579,0.3268,8.0,10,25.25,100,0.0,0.0,0.0,0.0,0.04,R2_A tau_arf,100,0.0157,0.0984,0.0,33.0,24.0
1.331579,0.3268,8.0,20,25.25,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,24.0
1.331579,0.3268,8.0,50,25.25,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,24.0
1.331579,0.3268,15.0,1,47.35,100,0.0,0.07,0.07,0.07,0.07,R6 tau_hat (identity),100,,,0.0,33.0,24.0
1.331579,0.3268,15.0,2,47.35,100,0.0,0.07,0.14,0.1351,,,0,,,0.0,33.0,24.0
1.331579,0.3268,15.0,3,47.35,100,0.0,0.07,0.21,0.195643,,,0,,,0.0,33.0,24.0
1.331579,0.3268,15.0,5,47.35,100,0.0,0.07,0.35,0.304312,,,0,,,0.0,33.0,24.0
1.331579,0.3268,15.0,10,47.35,100,0.0,0.07,0.7,0.516018,0.43,R2_A tau_arf,100,0.3373,0.5278,0.0,33.0,24.0
1.331579,0.3268,15.0,20,47.35,100,0.0,0.07,1.0,0.765761,,,0,,,0.0,33.0,24.0
1.331579,0.3268,15.0,50,47.35,100,0.0,0.07,1.0,0.973445,,,0,,,0.0,33.0,24.0
1.331579,0.3268,25.0,1,78.92,100,0.0,0.28,0.28,0.28,0.28,R6 tau_hat (identity),100,,,0.0,33.0,24.0
1.331579,0.3268,25.0,2,78.92,100,0.0,0.28,0.56,0.4816,,,0,,,0.0,33.0,24.0
1.331579,0.3268,25.0,3,78.92,100,0.0,0.28,0.84,0.626752,,,0,,,0.0,33.0,24.0
1.331579,0.3268,25.0,5,78.92,100,0.0,0.28,1.0,0.806508,,,0,,,0.0,33.0,24.0
1.331579,0.3268,25.0,10,78.92,100,0.0,0.28,1.0,0.962561,0.82,R2_A tau_arf,100,0.7333,0.883,0.0,33.0,24.0
1.331579,0.3268,25.0,20,78.92,100,0.0,0.28,1.0,0.998598,,,0,,,0.0,33.0,24.0
1.331579,0.3268,25.0,50,78.92,100,0.0,0.28,1.0,1.0,,,0,,,0.0,33.0,24.0
1.331579,0.3268,50.0,1,157.83,100,0.0,0.49,0.49,0.49,0.49,R6 tau_hat (identity),100,,,0.0,33.0,24.0
1.331579,0.3268,50.0,2,157.83,100,0.0,0.49,0.98,0.7399,,,0,,,0.0,33.0,24.0
1.331579,0.3268,50.0,3,157.83,100,0.0,0.49,1.0,0.867349,,,0,,,0.0,33.0,24.0
1.331579,0.3268,50.0,5,157.83,100,0.0,0.49,1.0,0.965497,,,0,,,0.0,33.0,24.0
1.331579,0.3268,50.0,10,157.83,100,0.0,0.49,1.0,0.99881,1.0,R2_A tau_arf,100,0.963,1.0,0.0,33.0,24.0
1.331579,0.3268,50.0,20,157.83,100,0.0,0.49,1.0,0.999999,,,0,,,0.0,33.0,24.0
1.331579,0.3268,50.0,50,157.83,100,0.0,0.49,1.0,1.0,,,0,,,0.0,33.0,24.0
1.536842,0.3614,8.0,1,22.76,100,0.0,0.0,0.0,0.0,0.0,R6 tau_hat (identity),100,,,0.0,33.0,20.0
1.536842,0.3614,8.0,2,22.76,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,20.0
1.536842,0.3614,8.0,3,22.76,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,20.0
1.536842,0.3614,8.0,5,22.76,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,20.0
1.536842,0.3614,8.0,10,22.76,100,0.0,0.0,0.0,0.0,0.01,R2_A tau_arf,100,0.0018,0.0545,0.0,33.0,20.0
1.536842,0.3614,8.0,20,22.76,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,20.0
1.536842,0.3614,8.0,50,22.76,100,0.0,0.0,0.0,0.0,,,0,,,0.0,33.0,20.0
1.536842,0.3614,15.0,1,42.68,100,0.0,0.07,0.07,0.07,0.07,R6 tau_hat (identity),100,,,0.0,33.0,20.0
1.536842,0.3614,15.0,2,42.68,100,0.0,0.07,0.14,0.1351,,,0,,,0.0,33.0,20.0
1.536842,0.3614,15.0,3,42.68,100,0.0,0.07,0.21,0.195643,,,0,,,0.0,33.0,20.0
1.536842,0.3614,15.0,5,42.68,100,0.0,0.07,0.35,0.304312,,,0,,,0.0,33.0,20.0
1.536842,0.3614,15.0,10,42.68,100,0.0,0.07,0.7,0.516018,0.42,R2_A tau_arf,100,0.328,0.5179,0.0,33.0,20.0
1.536842,0.3614,15.0,20,42.68,100,0.0,0.07,1.0,0.765761,,,0,,,0.0,33.0,20.0
1.536842,0.3614,15.0,50,42.68,100,0.0,0.07,1.0,0.973445,,,0,,,0.0,33.0,20.0
