scenario,lambda,boundary_shift,delta_e,t,n,cif_arf,cif_arf_lo,cif_arf_hi,cif_det,cif_det_lo,cif_det_hi,unresolved_at_t,detector_fired_ever_frac,detector_won_frac,censored_frac
A,50.0,2.357895,0.4523,50,100,0.93,0.88,0.98,0.0,0.0,0.0,0.07,0.0,0.0,0.0
A,50.0,2.357895,0.4523,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.357895,0.4523,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.357895,0.4523,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.357895,0.4523,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.357895,0.4523,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.357895,0.4523,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.563158,0.465,25,100,0.22,0.14,0.3,0.0,0.0,0.0,0.78,0.0,0.0,0.0
A,50.0,2.563158,0.465,50,100,0.96,0.92,0.99,0.0,0.0,0.0,0.04,0.0,0.0,0.0
A,50.0,2.563158,0.465,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.563158,0.465,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.563158,0.465,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.563158,0.465,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.563158,0.465,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.563158,0.465,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.768421,0.4749,25,100,0.25,0.17,0.34,0.0,0.0,0.0,0.75,0.0,0.0,0.0
A,50.0,2.768421,0.4749,50,100,0.97,0.93,1.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
A,50.0,2.768421,0.4749,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.768421,0.4749,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.768421,0.4749,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.768421,0.4749,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.768421,0.4749,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.768421,0.4749,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.973684,0.4823,25,100,0.27,0.18,0.36,0.0,0.0,0.0,0.73,0.0,0.0,0.0
A,50.0,2.973684,0.4823,50,100,0.97,0.93,1.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
A,50.0,2.973684,0.4823,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.973684,0.4823,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.973684,0.4823,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.973684,0.4823,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.973684,0.4823,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,2.973684,0.4823,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.178947,0.4877,25,100,0.3,0.21,0.39,0.0,0.0,0.0,0.7,0.0,0.0,0.0
A,50.0,3.178947,0.4877,50,100,0.97,0.93,1.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
A,50.0,3.178947,0.4877,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.178947,0.4877,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.178947,0.4877,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.178947,0.4877,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.178947,0.4877,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.178947,0.4877,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.384211,0.4916,25,100,0.3,0.21,0.39,0.0,0.0,0.0,0.7,0.0,0.0,0.0
A,50.0,3.384211,0.4916,50,100,0.98,0.95,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
A,50.0,3.384211,0.4916,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.384211,0.4916,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.384211,0.4916,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.384211,0.4916,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.384211,0.4916,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.384211,0.4916,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.589474,0.4944,25,100,0.31,0.22,0.4,0.0,0.0,0.0,0.69,0.0,0.0,0.0
A,50.0,3.589474,0.4944,50,100,0.98,0.95,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
A,50.0,3.589474,0.4944,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.589474,0.4944,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.589474,0.4944,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.589474,0.4944,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.589474,0.4944,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.589474,0.4944,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.794737,0.4964,25,100,0.31,0.22,0.4,0.0,0.0,0.0,0.69,0.0,0.0,0.0
A,50.0,3.794737,0.4964,50,100,0.98,0.95,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
A,50.0,3.794737,0.4964,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.794737,0.4964,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.794737,0.4964,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.794737,0.4964,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.794737,0.4964,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,3.794737,0.4964,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,4.0,0.4977,25,100,0.31,0.22,0.4,0.0,0.0,0.0,0.69,0.0,0.0,0.0
A,50.0,4.0,0.4977,50,100,0.98,0.95,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
A,50.0,4.0,0.4977,100,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,4.0,0.4977,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,4.0,0.4977,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,4.0,0.4977,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,4.0,0.4977,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,4.0,0.4977,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,25.0,0.1,0.0282,25,100,0.12,0.06,0.19,0.0,0.0,0.0,0.88,0.0,0.0,0.0
B,25.0,0.1,0.0282,50,100,0.2,0.13,0.28,0.0,0.0,0.0,0.8,0.0,0.0,0.0
B,25.0,0.1,0.0282,100,100,0.43,0.33,0.53,0.0,0.0,0.0,0.57,0.0,0.0,0.0
B,25.0,0.1,0.0282,200,100,0.65,0.55,0.74,0.0,0.0,0.0,0.35,0.0,0.0,0.0
B,25.0,0.1,0.0282,400,100,0.9,0.84,0.96,0.0,0.0,0.0,0.1,0.0,0.0,0.0
B,25.0,0.1,0.0282,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,25.0,0.1,0.0282,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,25.0,0.1,0.0282,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,25.0,0.305263,0.0854,25,100,0.07,0.03,0.12,0.0,0.0,0.0,0.93,0.22,0.1,0.0
B,25.0,0.305263,0.0854,50,100,0.07,0.03,0.12,0.0,0.0,0.0,0.93,0.22,0.1,0.0
B,25.0,0.305263,0.0854,100,100,0.17,0.1,0.25,0.0,0.0,0.0,0.83,0.22,0.1,0.0
B,25.0,0.305263,0.0854,200,100,0.3,0.21,0.39,0.0,0.0,0.0,0.7,0.22,0.1,0.0
B,25.0,0.305263,0.0854,400,100,0.49,0.39,0.59,0.0,0.0,0.0,0.51,0.22,0.1,0.0
B,25.0,0.305263,0.0854,800,100,0.82,0.74,0.89,0.09,0.04,0.15,0.09,0.22,0.1,0.0
B,25.0,0.305263,0.0854,1600,100,0.9,0.84,0.96,0.1,0.04,0.16,0.0,0.22,0.1,0.0
B,25.0,0.305263,0.0854,4000,100,0.9,0.84,0.96,0.1,0.04,0.16,0.0,0.22,0.1,0.0
B,25.0,0.510526,0.1409,25,100,0.02,0.0,0.05,0.0,0.0,0.0,0.98,0.75,0.32,0.0
B,25.0,0.510526,0.1409,50,100,0.04,0.01,0.08,0.0,0.0,0.0,0.96,0.75,0.32,0.0
B,25.0,0.510526,0.1409,100,100,0.12,0.06,0.19,0.0,0.0,0.0,0.88,0.75,0.32,0.0
B,25.0,0.510526,0.1409,200,100,0.31,0.22,0.4,0.01,0.0,0.03,0.68,0.75,0.32,0.0
B,25.0,0.510526,0.1409,400,100,0.59,0.49,0.68,0.22,0.14,0.3,0.19,0.75,0.32,0.0
B,25.0,0.510526,0.1409,800,100,0.66,0.57,0.75,0.32,0.23,0.41,0.02,0.75,0.32,0.0
B,25.0,0.510526,0.1409,1600,100,0.68,0.59,0.77,0.32,0.23,0.41,0.0,0.75,0.32,0.0
B,25.0,0.510526,0.1409,4000,100,0.68,0.59,0.77,0.32,0.23,0.41,0.0,0.75,0.32,0.0
B,25.0,0.715789,0.1936,25,100,0.01,0.0,0.03,0.0,0.0,0.0,0.99,0.91,0.22,0.0
B,25.0,0.715789,0.1936,50,100,0.05,0.01,0.1,0.0,0.0,0.0,0.95,0.91,0.22,0.0
B,25.0,0.715789,0.1936,100,100,0.28,0.19,0.37,0.0,0.0,0.0,0.72,0.91,0.22,0.0
B,25.0,0.715789,0.1936,200,100,0.7,0.61,0.79,0.09,0.04,0.15,0.21,0.91,0.22,0.0
B,25.0,0.715789,0.1936,400,100,0.77,0.69,0.85,0.22,0.14,0.3,0.01,0.91,0.22,0.0
B,25.0,0.715789,0.1936,800,100,0.77,0.69,0.85,0.22,0.14,0.3,0.01,0.91,0.22,0.0
B,25.0,0.715789,0.1936,1600,100,0.78,0.7,0.86,0.22,0.14,0.3,0.0,0.91,0.22,0.0
B,25.0,0.715789,0.1936,4000,100,0.78,0.7,0.86,0.22,0.14,0.3,0.0,0.91,0.22,0.0
B,25.0,0.921053,0.2426,25,100,0.01,0.0,0.03,0.0,0.0,0.0,0.99,0.98,0.1,0.0
B,25.0,0.921053,0.2426,50,100,0.13,0.07,0.2,0.0,0.0,0.0,0.87,0.98,0.1,0.0
B,25.0,0.921053,0.2426,100,100,0.63,0.54,0.72,0.0,0.0,0.0,0.37,0.98,0.1,0.0
B,25.0,0.921053,0.2426,200,100,0.88,0.81,0.94,0.09,0.04,0.15,0.03,0.98,0.1,0.0
B,25.0,0.921053,0.2426,400,100,0.9,0.84,0.95,0.1,0.05,0.16,0.0,0.98,0.1,0.0
B,25.0,0.921053,0.2426,800,100,0.9,0.84,0.95,0.1,0.05,0.16,0.0,0.98,0.1,0.0
B,25.0,0.921053,0.2426,1600,100,0.9,0.84,0.95,0.1,0.05,0.16,0.0,0.98,0.1,0.0
B,25.0,0.921053,0.2426,4000,100,0.9,0.84,0.95,0.1,0.05,0.16,0.0,0.98,0.1,0.0
B,25.0,1.126316,0.2871,25,100,0.01,0.0,0.03,0.0,0.0,0.0,0.99,0.95,0.04,0.0
B,25.0,1.126316,0.2871,50,100,0.25,0.17,0.34,0.0,0.0,0.0,0.75,0.95,0.04,0.0
B,25.0,1.126316,0.2871,100,100,0.81,0.73,0.88,0.0,0.0,0.0,0.19,0.95,0.04,0.0
B,25.0,1.126316,0.2871,200,100,0.96,0.92,0.99,0.04,0.01,0.08,0.0,0.95,0.04,0.0
B,25.0,1.126316,0.2871,400,100,0.96,0.92,0.99,0.04,0.01,0.08,0.0,0.95,0.04,0.0
B,25.0,1.126316,0.2871,800,100,0.96,0.92,0.99,0.04,0.01,0.08,0.0,0.95,0.04,0.0
B,25.0,1.126316,0.2871,1600,100,0.96,0.92,0.99,0.04,0.01,0.08,0.0,0.95,0.04,0.0
B,25.0,1.126316,0.2871,4000,100,0.96,0.92,0.99,0.04,0.01,0.08,0.0,0.95,0.04,0.0
B,25.0,1.331579,0.3268,25,100,0.04,0.01,0.08,0.0,0.0,0.0,0.96,0.95,0.02,0.0
B,25.0,1.331579,0.3268,50,100,0.47,0.37,0.57,0.0,0.0,0.0,0.53,0.95,0.02,0.0
B,25.0,1.331579,0.3268,100,100,0.94,0.89,0.98,0.01,0.0,0.03,0.05,0.95,0.02,0.0
B,25.0,1.331579,0.3268,200,100,0.98,0.95,1.0,0.02,0.0,0.05,0.0,0.95,0.02,0.0
B,25.0,1.331579,0.3268,400,100,0.98,0.95,1.0,0.02,0.0,0.05,0.0,0.95,0.02,0.0
B,25.0,1.331579,0.3268,800,100,0.98,0.95,1.0,0.02,0.0,0.05,0.0,0.95,0.02,0.0
B,25.0,1.331579,0.3268,1600,100,0.98,0.95,1.0,0.02,0.0,0.05,0.0,0.95,0.02,0.0
B,25.0,1.331579,0.3268,4000,100,0.98,0.95,1.0,0.02,0.0,0.05,0.0,0.95,0.02,0.0
B,25.0,1.536842,0.3614,25,100,0.05,0.01,0.1,0.0,0.0,0.0,0.95,0.92,0.0,0.0
B,25.0,1.536842,0.3614,50,100,0.62,0.52,0.71,0.0,0.0,0.0,0.38,0.92,0.0,0.0
B,25.0,1.536842,0.3614,100,100,0.99,0.97,1.0,0.0,0.0,0.0,0.01,0.92,0.0,0.0
B,25.0,1.536842,0.3614,200,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
B,25.0,1.536842,0.3614,400,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
B,25.0,1.536842,0.3614,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
B,25.0,1.536842,0.3614,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
B,25.0,1.536842,0.3614,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0
B,25.0,1.742105,0.391,25,100,0.07,0.02,0.12,0.0,0.0,0.0,0.93,0.77,0.0,0.0
