seed,delta_e,tau_arf
3869940862,0.18,449
3445858407,0.18,288
683688611,0.18,182
3671515462,0.18,105
3027130951,0.18,340
3369736057,0.18,180
1655287705,0.18,112
3004971955,0.18,222
1256815592,0.18,115
267482411,0.18,158
2210323869,0.18,305
3218958405,0.18,203
3163371865,0.18,69
1394697297,0.18,738
4178031102,0.18,406
643453088,0.18,123
3249835323,0.18,104
349764347,0.18,205
317791015,0.18,129
4067508317,0.18,191
2385507088,0.18,1115
1526028037,0.18,133
297824171,0.18,98
1353143832,0.18,169
1739382006,0.18,255
580680804,0.18,197
2823014988,0.18,102
3517474495,0.18,145
1323262800,0.18,227
975802718,0.18,202
2199045525,0.18,410
1193102617,0.18,431
884894373,0.18,417
3411013638,0.18,352
805745625,0.18,222
3780170430,0.18,142
3127142703,0.18,223
2145807442,0.18,819
7356014,0.18,220
1854214563,0.18,543
3246756741,0.18,226
4269520782,0.18,150
3093880402,0.18,240
721312908,0.18,931
2185234596,0.18,273
1811372632,0.18,218
158871473,0.18,144
3933942357,0.18,116
2247311752,0.18,143
2639539135,0.18,266
588020478,0.18,279
2481404281,0.18,162
3605935409,0.18,22
1724216363,0.18,391
3705963873,0.18,152
3077038052,0.18,208
3012538924,0.18,117
339579960,0.18,236
3595527923,0.18,143
863450078,0.18,240
1293846983,0.18,12
297175216,0.18,98
1619853330,0.18,336
1315304267,0.18,610
3174143715,0.18,186
1039824701,0.18,119
721441559,0.18,169
4105799406,0.18,99
1633137197,0.18,151
1521883525,0.18,2
3988848284,0.18,224
2356674901,0.18,810
3622559309,0.18,656
855568988,0.18,3
2610361744,0.18,178
3797455899,0.18,546
3701701166,0.18,84
1820757617,0.18,221
3255375637,0.18,1022
1973362254,0.18,183
817567550,0.18,237
3034277235,0.18,326
422340604,0.18,685
2537213971,0.18,70
2777209301,0.18,6
3393578195,0.18,103
968986378,0.18,492
688328363,0.18,170
4152859901,0.18,1332
1795468969,0.18,224
2590496957,0.18,18
3299187091,0.18,722
1977285233,0.18,93
2229299064,0.18,156
621973311,0.18,439
3137073118,0.18,227
1722482046,0.18,240
2843863878,0.18,212
3220027874,0.18,267
2854411774,0.18,141
656915034,0.18,184
3284494407,0.18,88
1067328885,0.18,126
2684470948,0.2,166
4091952314,0.2,135
233227757,0.2,116
3276785861,0.2,660
3644269654,0.2,129
1206282609,0.2,113
3543069911,0.2,217
3479688010,0.2,114
877132087,0.2,101
1244265337,0.2,254
2740186692,0.2,134
3884972972,0.2,115
829139639,0.2,123
2545567356,0.2,902
2718398101,0.2,98
176092387,0.2,189
3528048386,0.2,67
569531098,0.2,127
1337295874,0.2,109
612016888,0.2,213
232150720,0.2,48
2324106676,0.2,108
1658700540,0.2,110
609942288,0.2,53
3405943863,0.2,516
2257503667,0.2,91
4018327298,0.2,73
2224437599,0.2,348
168388230,0.2,231
911875363,0.2,123
3699796293,0.2,162
3195154224,0.2,119
3621210587,0.2,62
1945778437,0.2,148
2384190687,0.2,260
3249086786,0.2,277
439485575,0.2,184
2217192537,0.2,252
3412522237,0.2,124
555567425,0.2,335
