seed,delta_e,tau_arf
1739382006,0.12000000000000001,216
580680804,0.12000000000000001,889
2823014988,0.12000000000000001,501
3517474495,0.12000000000000001,26
1323262800,0.12000000000000001,755
975802718,0.12000000000000001,546
2199045525,0.12000000000000001,873
1193102617,0.12000000000000001,138
884894373,0.12000000000000001,434
3411013638,0.12000000000000001,304
805745625,0.12000000000000001,186
3780170430,0.12000000000000001,218
3127142703,0.12000000000000001,9
2145807442,0.12000000000000001,684
7356014,0.12000000000000001,398
1854214563,0.12000000000000001,374
3246756741,0.12000000000000001,478
4269520782,0.12000000000000001,83
3093880402,0.12000000000000001,290
721312908,0.12000000000000001,206
2185234596,0.12000000000000001,355
1811372632,0.12000000000000001,1
158871473,0.12000000000000001,124
3933942357,0.12000000000000001,1
2247311752,0.12000000000000001,316
2639539135,0.12000000000000001,579
588020478,0.12000000000000001,488
2481404281,0.12000000000000001,5
3605935409,0.12000000000000001,423
1724216363,0.12000000000000001,711
3705963873,0.12000000000000001,4
3077038052,0.12000000000000001,545
3012538924,0.12000000000000001,273
339579960,0.12000000000000001,441
3595527923,0.12000000000000001,378
863450078,0.12000000000000001,640
1293846983,0.12000000000000001,989
297175216,0.12000000000000001,1171
1619853330,0.12000000000000001,288
1315304267,0.12000000000000001,201
3174143715,0.12000000000000001,358
1039824701,0.12000000000000001,526
721441559,0.12000000000000001,117
4105799406,0.12000000000000001,378
1633137197,0.12000000000000001,157
1521883525,0.12000000000000001,738
3988848284,0.12000000000000001,583
2356674901,0.12000000000000001,246
3622559309,0.12000000000000001,196
855568988,0.12000000000000001,319
2610361744,0.12000000000000001,237
3797455899,0.12000000000000001,1521
3701701166,0.12000000000000001,131
1820757617,0.12000000000000001,252
3255375637,0.12000000000000001,893
1973362254,0.12000000000000001,325
817567550,0.12000000000000001,528
3034277235,0.12000000000000001,100
422340604,0.12000000000000001,671
2537213971,0.12000000000000001,1181
2777209301,0.12000000000000001,339
3393578195,0.12000000000000001,253
968986378,0.12000000000000001,415
688328363,0.12000000000000001,314
4152859901,0.12000000000000001,495
1795468969,0.12000000000000001,584
2590496957,0.12000000000000001,464
3299187091,0.12000000000000001,1624
1977285233,0.12000000000000001,407
2229299064,0.12000000000000001,797
621973311,0.12000000000000001,30
3137073118,0.12000000000000001,282
1722482046,0.12000000000000001,246
2843863878,0.12000000000000001,376
3220027874,0.12000000000000001,388
2854411774,0.12000000000000001,302
656915034,0.12000000000000001,483
3284494407,0.12000000000000001,370
1067328885,0.12000000000000001,200
2684470948,0.14,304
4091952314,0.14,957
